influencer_id,name,influencer_type,mapped_outlet_id,state,city,mobile,loyalty_tier,last_app_login,data_quality_note
PIDINF000017,Karthik Babu,Waterproofing applicator,PIDOUT008856,Karnataka,Mysuru,7314876790,Gold,2026-01-25,mapped to old outlet
PIDINF000018,Hari Khan,Tile contractor,PIDOUT006123,Telangana,Hyderabad,7313742486,Platinum,2025-11-26,name in local language in app
PIDINF000019,Suresh Iyer,Mason,PIDOUT002234,Karnataka,Davanagere,8419147132,Gold,20-Oct-25,name in local language in app
PIDINF000020,Farida Menon,Mason,PIDOUT001900,Karnataka,Tumakuru,6885584994,Platinum,,mapped to old outlet
PIDINF000021,Chandra Varma,Waterproofing applicator,PIDOUT008233,Kerala,Palakkad,9184317779,Inactive,14/02/2026,
PIDINF000022,Suresh Prasad,Painter,PIDOUT005741,Tamil Nadu,Cuddalore,8839677989,Gold,2024-04-29,inactive but purchases seen
PIDINF000023,Meena Pillai,Painter,PIDOUT000649,Andhra Pradesh,Kadapa,8469542911,Silver,2024-04-12,inactive but purchases seen
PIDINF000024,Prakash Menon,Carpenter,PIDOUT000296,Andhra Pradesh,Anantapur,6796993613,Bronze,2025-12-24,mapped to old outlet
PIDINF000025,Kavya Joseph,Carpenter,PIDOUT002379,Andhra Pradesh,Nellore,6193631280,Platinum,2024-04-16,name in local language in app
PIDINF000026,Lakshmi Prasad,Tile contractor,PIDOUT001061,ANDHRA,Kadapa,9999999999,Platinum,2024-05-10,same mobile as dealer
PIDINF000027,Rafiq Varma,Tile contractor,PIDOUT006940,Kerala,Alappuzha,7407731374,Silver,2026-03-29,mapped to old outlet
PIDINF000028,Sowmya Prasad,Tile contractor,PIDOUT007649,Karnataka,Ballari,8563447556,Silver,,inactive but purchases seen
PIDINF000029,Prakash Das,Carpenter,PIDOUT006859,Andhra Pradesh,Anantapur,8895843344,Silver,2024-07-13,name in local language in app
PIDINF000030,Karthik Prasad,Tile contractor,PIDOUT004851,Karnataka,Hubballi,7627227353,Platinum,28/03/2025,mapped to old outlet
PIDINF000031,Karthik Reddy,Tile contractor,PIDOUT007356,TELANGANA,Nizamabad,8074507917,Platinum,2025-12-19,name in local language in app
PIDINF000032,Irfan Joseph,Mason,PIDOUT006257,Kerala,Alappuzha,9419113288,Inactive,2024-09-01,
PIDINF000033,Geetha Varma,Painter,PIDOUT002507,Andhra Pradesh,Kakinada,6170061518,Gold,2024-10-23,name in local language in app
PIDINF000034,Manoj Nair,Tile contractor,PIDOUT003712,Telangana,Karimnagar,7094575370,Platinum,2025-10-09,
PIDINF000035,Venkatesh Nair,Painter,PIDOUT002841,TG,Adilabad,8062818831,Platinum,2024-06-17,mapped to old outlet
PIDINF000036,Suresh Khan,Tile contractor,PIDOUT006619,Telangana,Warangal,7422318375,Gold,2025-04-20,same mobile as dealer
PIDINF000037,Meena Rao,Mason,PIDOUT003059,Karnataka,Shivamogga,8986539063,Gold,2025-10-15,inactive but purchases seen
PIDINF000038,Suresh Acharya,Painter,PIDOUT002085,Kerala,Palakkad,6422840649,Platinum,2024-12-22,
PIDINF000039,Hari Pillai,Waterproofing applicator,PIDOUT004369,Andhra Pradesh,Rajahmundry,6598837273,Bronze,2025-05-20,mapped to old outlet
PIDINF000040,Geetha Acharya,Carpenter,PIDOUT007674,Andhra Pradesh,Tirupati,6954010912,Gold,2024-05-27,
PIDINF000041,Sowmya Naidu,Carpenter,PIDOUT006104,Andhra Pradesh,Kadapa,9075198937,Bronze,23/02/2026,mapped to old outlet
PIDINF000042,Karthik Iyer,Mason,PIDOUT007967,Karnataka,Bengaluru,8784824105,Inactive,2024-10-12,
PIDINF000043,Lakshmi Naidu,Carpenter,PIDOUT004310,Telangana,Hyderabad,9241759583,Bronze,2025-10-19,same mobile as dealer
PIDINF000044,Rafiq Patil,Waterproofing applicator,PIDOUT008141,Karnataka,Udupi,9663393603,Bronze,2025-10-29,mapped to old outlet
PIDINF000045,Lakshmi Menon,Painter,PIDOUT001673,Tamil Nadu,Cuddalore,6603401089,Bronze,2024-11-16,inactive but purchases seen
PIDINF000046,Lokesh Nair,Carpenter,PIDOUT001781,Karnataka,Tumakuru,8509472363,Gold,27-Jul-24,same mobile as dealer
PIDINF000047,Priya Patil,Tile contractor,PIDOUT003247,A.P.,Anantapur,6841286203,Inactive,2024-11-26,inactive but purchases seen
PIDINF000048,Revathi Shetty,Waterproofing applicator,PIDOUT001526,Tamil Nadu,Hosur,8565747070,Bronze,23/12/2024,
PIDINF000049,Hari Iyer,Tile contractor,PIDOUT004161,Tamil Nadu,Salem,6072094066,Inactive,2025-07-12,name in local language in app
PIDINF000050,Geetha Kumar,Carpenter,PIDOUT008998,Tamil Nadu,Salem,6762561846,Gold,,
PIDINF000051,Kavya Varma,Carpenter,PIDOUT008331,Tamil Nadu,Trichy,0,Gold,2024-08-10,inactive but purchases seen
PIDINF000052,Sowmya Pillai,Painter,PIDOUT001323,Tamil Nadu,Erode,8012044449,Silver,2025-12-04,inactive but purchases seen
PIDINF000053,Naveen Iyer,Carpenter,PIDOUT004407,Tamil Nadu,Coimbatore,9988786494,Platinum,07-Aug-24,name in local language in app
PIDINF000054,Meena Kumar,Painter,PIDOUT001653,Kerala,Thrissur,9179013876,Gold,2024-10-09,mapped to old outlet
PIDINF000055,Deepak Menon,Mason,PIDOUT008049,Karnataka,Raichur,9297427970,Inactive,2025-12-17,
PIDINF000056,Venkatesh Shetty,Waterproofing applicator,PIDOUT005484,Telangana,Adilabad,6192521046,Silver,2025-08-23,name in local language in app
PIDINF000057,Jagan Acharya,Waterproofing applicator,PIDOUT002351,Tamil Nadu,Thanjavur,6809461030,Bronze,2025-05-14,name in local language in app
PIDINF000058,Irfan Prasad,Painter,PIDOUT001871,Karnataka,Kalaburagi,9579032602,Silver,2026-02-21,inactive but purchases seen
PIDINF000059,Meena Patil,Mason,PIDOUT008798,Andhra Pradesh,Rajahmundry,7930844006,Gold,2025-08-10,name in local language in app
PIDINF000060,Bala Patil,Carpenter,PIDOUT004887,Karnataka,Ballari,8176730870,Bronze,,name in local language in app
PIDINF000061,Jagan Rao,Waterproofing applicator,PIDOUT007495,Kerala,Kannur,8702078558,Gold,,mapped to old outlet
PIDINF000062,Lokesh Reddy,Waterproofing applicator,PIDOUT008654,Karnataka,Shivamogga,7943396089,Silver,,
PIDINF000063,Priya Kumar,Mason,PIDOUT005407,Tamil Nadu,Salem,6828720723,Inactive,20/11/2024,mapped to old outlet
PIDINF000064,Hari Pillai,Carpenter,PIDOUT005332,Andhra Pradesh,Vijayawada,6684419153,Gold,2025-02-01,
PIDINF000065,Rafiq Naidu,Carpenter,PIDOUT008164,Andhra Pradesh,Kakinada,8619981153,Silver,,same mobile as dealer
PIDINF000066,Chandra Iyer,Painter,PIDOUT001481,Andhra Pradesh,Kurnool,7322588500,Gold,2025-06-06,same mobile as dealer
PIDINF000067,Lokesh Prasad,Carpenter,PIDOUT000482,Tamil Nadu,Coimbatore,9564009858,Bronze,2025-03-15,inactive but purchases seen
PIDINF000068,Senthil Pillai,Painter,PIDOUT008364,Tamil Nadu,Vellore,6485417908,Bronze,2025-05-14,mapped to old outlet
PIDINF000069,Lakshmi Nair,Mason,PIDOUT001924,Karnataka,Belagavi,8027914195,Gold,08-Aug-24,name in local language in app
PIDINF000070,Kavya Reddy,Carpenter,PIDOUT001262,Andhra Pradesh,Guntur,9020431017,Inactive,2025-07-11,name in local language in app
PIDINF000071,Priya Joseph,Waterproofing applicator,PIDOUT008241,Telangana,Nizamabad,6503369697,Silver,2024-04-08,mapped to old outlet
PIDINF000072,Irfan Nair,Tile contractor,PIDOUT007946,Kerala,Kochi,8882254690,Silver,2025-01-31,inactive but purchases seen
PIDINF000073,Revathi Das,Tile contractor,PIDOUT000927,Andhra Pradesh,Kadapa,7202093375,Inactive,2025-10-12,same mobile as dealer
PIDINF000074,Bala Joseph,Tile contractor,PIDOUT001058,ANDHRA,Kadapa,8886047175,Inactive,2025-11-06,same mobile as dealer
PIDINF000075,Sanjay Acharya,Mason,PIDOUT008709,Tamil Nadu,Coimbatore,6308972126,Gold,2024-10-19,inactive but purchases seen
PIDINF000076,Ganesh Naidu,Mason,PIDOUT006954,Karnataka,Ballari,8020425815,Bronze,,
PIDINF000077,Sowmya Naidu,Mason,PIDOUT004624,Kerala,Kozhikode,6143542617,Gold,,mapped to old outlet
PIDINF000078,Priya Rao,Mason,PIDOUT003551,Karnataka,Belagavi,9186519983,Inactive,,same mobile as dealer
PIDINF000079,Kavya Pillai,Painter,PIDOUT008552,Karnataka,Raichur,9450955209,Platinum,2025-07-16,mapped to old outlet
PIDINF000080,Revathi Khan,Mason,PIDOUT001193,Andhra Pradesh,Tirupati,9355403653,Bronze,2024-06-26,same mobile as dealer
PIDINF000081,Arun Pillai,Tile contractor,PIDOUT007021,Telangana,Karimnagar,9518369588,Gold,,inactive but purchases seen
PIDINF000082,Lakshmi Prasad,Waterproofing applicator,PIDOUT001468,Karnataka,Ballari,9792022295,Platinum,2025-05-04,mapped to old outlet
PIDINF000083,Farida Menon,Painter,PIDOUT002697,Andhra Pradesh,Kakinada,6014546513,Platinum,05/02/2025,name in local language in app
PIDINF000084,Meena Nair,Carpenter,PIDOUT005138,Kerala,Kannur,8210524680,Bronze,2024-07-25,name in local language in app
PIDINF000085,Rafiq Reddy,Waterproofing applicator,PIDOUT002553,KL,Kozhikode,7448707761,Inactive,,inactive but purchases seen
PIDINF000086,Rafiq Joseph,Tile contractor,PIDOUT006932,Karnataka,Davanagere,9680145294,Gold,2025-12-26,name in local language in app
PIDINF000087,Farida Iyer,Mason,PIDOUT004813,Karnataka,Belagavi,8886488428,Inactive,2024-09-07,same mobile as dealer
PIDINF000088,Priya Kumar,Tile contractor,PIDOUT007396,Karnataka,Mysuru,9781789345,Bronze,2024-06-10,mapped to old outlet
PIDINF000089,Lakshmi Acharya,Painter,PIDOUT002089,Tamil Nadu,Thanjavur,7169300651,Platinum,2024-08-14,inactive but purchases seen
PIDINF000090,Deepak Prasad,Mason,PIDOUT006409,TELANGANA,Hyderabad,7515587959,Platinum,30/10/2025,name in local language in app
PIDINF000091,Revathi Pillai,Carpenter,PIDOUT007300,Andhra Pradesh,Nellore,8786118156,Platinum,12/31/2024,name in local language in app
PIDINF000092,Deepak Das,Carpenter,PIDOUT001955,Telangana,Nalgonda,9069191473,Gold,2024-05-08,mapped to old outlet
PIDINF000093,Meena Iyer,Carpenter,PIDOUT003041,Telangana,Siddipet,7764201437,Platinum,,same mobile as dealer
PIDINF000094,Farida Patil,Carpenter,PIDOUT003906,Karnataka,Mangaluru,8876899456,Gold,31/10/2024,name in local language in app
PIDINF000095,Chandra Rao,Painter,PIDOUT008041,Karnataka,Davanagere,9478973926,Inactive,,
PIDINF000096,Jagan Das,Carpenter,PIDOUT008193,Karnataka,Kalaburagi,7095774952,Inactive,16/03/2026,same mobile as dealer
PIDINF000097,Deepak Babu,Tile contractor,PIDOUT003044,Telangana,Khammam,6719750601,Silver,,name in local language in app
PIDINF000098,Chandra Shetty,Tile contractor,PIDOUT000216,Telangana,Warangal,6791304646,Gold,2024-06-28,mapped to old outlet
PIDINF000099,Naveen Pillai,Tile contractor,PIDOUT000167,Tamil Nadu,Tirunelveli,8254320835,Gold,2026-01-22,same mobile as dealer
PIDINF000100,Yusuf Patil,Tile contractor,PIDOUT001800,Telangana,Siddipet,7178719580,Platinum,12-Apr-24,
PIDINF000101,Deepak Das,Tile contractor,PIDOUT002941,Andhra Pradesh,Kakinada,6058639503,Gold,,name in local language in app
PIDINF000102,Senthil Naidu,Mason,PIDOUT007939,KERALA,Thiruvananthapuram,9684034588,Gold,2025-12-29,mapped to old outlet
PIDINF000103,Meena Rao,Waterproofing applicator,PIDOUT000144,Andhra Pradesh,Nellore,7408730880,Silver,2025-02-03,mapped to old outlet
PIDINF000104,Sowmya Shetty,Painter,PIDOUT007490,Telangana,Suryapet,6019514300,Inactive,2025-03-24,mapped to old outlet
PIDINF000105,Deepak Reddy,Painter,PIDOUT000238,Tamil Nadu,Kanchipuram,7399852270,Inactive,,
PIDINF000106,Sanjay Kumar,Waterproofing applicator,PIDOUT007606,KERALA,Kozhikode,6150106853,Platinum,2025-09-01,inactive but purchases seen
PIDINF000107,Geetha Prasad,Waterproofing applicator,PIDOUT005278,Andhra Pradesh,Kurnool,8314084824,Platinum,2025-01-10,mapped to old outlet
PIDINF000108,Anand Acharya,Tile contractor,PIDOUT004557,Karnataka,Bengaluru,9045150133,Platinum,2024-08-29,same mobile as dealer
PIDINF000109,Irfan Babu,Mason,PIDOUT003742,Tamil Nadu,Hosur,9205979064,Silver,,
PIDINF000110,Hari Iyer,Painter,PIDOUT007724,Kerala,Kochi,7848958513,Bronze,2024-08-23,
PIDINF000111,Bala Patil,Tile contractor,PIDOUT001407,Telangana,Siddipet,7327985239,Inactive,2025-02-26,inactive but purchases seen
PIDINF000112,Yusuf Nair,Waterproofing applicator,PIDOUT002273,Tamil Nadu,Madurai,0,Platinum,,inactive but purchases seen
PIDINF000113,Venkatesh Joseph,Mason,PIDOUT006670,Telangana,Mahbubnagar,6007937962,Silver,2024-12-31,same mobile as dealer
PIDINF000114,Bala Iyer,Painter,PIDOUT006464,Tamil Nadu,Chennai,6078531419,Silver,,inactive but purchases seen
PIDINF000115,Bala Rao,Carpenter,PIDOUT003806,Karnataka,Bengaluru,6526624165,Silver,2025-02-03,inactive but purchases seen
PIDINF000116,Priya Rao,Waterproofing applicator,PIDOUT008971,Tamil Nadu,Trichy,8030305512,Silver,,name in local language in app
PIDINF000117,Deepak Naidu,Tile contractor,PIDOUT008452,Andhra Pradesh,Kadapa,6596615835,Silver,04/30/2024,same mobile as dealer
PIDINF000118,Sanjay Babu,Painter,PIDOUT002585,Tamil Nadu,Coimbatore,7667699040,Silver,,mapped to old outlet
PIDINF000119,Kavya Babu,Waterproofing applicator,PIDOUT000996,TELANGANA,Suryapet,9442225580,Inactive,,inactive but purchases seen
PIDINF000120,Naveen Prasad,Waterproofing applicator,PIDOUT002314,Andhra Pradesh,Visakhapatnam,8022973737,Gold,,same mobile as dealer
PIDINF000121,Lokesh Kumar,Carpenter,PIDOUT004976,Tamil Nadu,Cuddalore,9648735273,Gold,2025-12-29,mapped to old outlet
PIDINF000122,Kavya Rao,Mason,PIDOUT005921,Kerala,Thiruvananthapuram,7872577610,Gold,2025-05-11,
PIDINF000123,Ganesh Patil,Mason,PIDOUT008976,Karnataka,Udupi,6003182435,Bronze,2025-08-31,
PIDINF000124,Suresh Naidu,Tile contractor,PIDOUT002365,Telangana,Mahbubnagar,9503279893,Bronze,2026-01-29,mapped to old outlet
PIDINF000125,Kavya Babu,Carpenter,PIDOUT004239,Tamil Nadu,Hosur,7798626339,Silver,,inactive but purchases seen
PIDINF000126,Jagan Iyer,Mason,PIDOUT008655,Andhra Pradesh,Anantapur,8988882823,Bronze,2024-04-15,mapped to old outlet
PIDINF000127,Ganesh Rao,Painter,PIDOUT006457,Telangana,Hyderabad,,Platinum,19/09/2025,name in local language in app
PIDINF000128,Deepak Pillai,Waterproofing applicator,PIDOUT008242,Andhra Pradesh,Rajahmundry,9274349624,Platinum,2025-02-01,
PIDINF000129,Ganesh Menon,Tile contractor,PIDOUT007817,Tamil Nadu,Tirunelveli,0,Bronze,2024-08-24,
PIDINF000130,Chandra Patil,Mason,PIDOUT008254,Andhra Pradesh,Rajahmundry,9934743066,Inactive,2024-07-18,
PIDINF000131,Suresh Joseph,Tile contractor,PIDOUT003301,Andhra Pradesh,Vijayawada,6556369203,Inactive,2024-09-08,same mobile as dealer
PIDINF000132,Farida Shetty,Carpenter,PIDOUT004258,Andhra Pradesh,Rajahmundry,7360368948,Platinum,,
PIDINF000133,Ganesh Khan,Mason,PIDOUT004629,Andhra Pradesh,Kurnool,7776335404,Silver,2025-09-04,same mobile as dealer
PIDINF000134,Karthik Varma,Tile contractor,PIDOUT001898,Tamil Nadu,Cuddalore,8476896370,Inactive,2024-07-22,name in local language in app
PIDINF000135,Bala Rao,Painter,PIDOUT005459,Telangana,Nizamabad,8525300175,Platinum,2024-08-27,inactive but purchases seen
PIDINF000136,Hari Das,Waterproofing applicator,PIDOUT006866,Telangana,Adilabad,7576839866,Gold,2025-11-24,
PIDINF000137,Anand Naidu,Carpenter,PIDOUT006735,Andhra Pradesh,Kakinada,9213732515,Gold,2026-03-24,
PIDINF000138,Sanjay Joseph,Carpenter,PIDOUT003647,TS,Nalgonda,6126791875,Silver,2025-03-18,inactive but purchases seen
PIDINF000139,Lakshmi Prasad,Waterproofing applicator,PIDOUT002090,Kerala,Kochi,7280263044,Inactive,2025-02-01,
PIDINF000140,Prakash Naidu,Painter,PIDOUT000855,Tamil Nadu,Hosur,6000979471,Inactive,2024-08-25,
PIDINF000141,Bala Acharya,Carpenter,PIDOUT005255,Tamil Nadu,Salem,7135129717,Platinum,2026-02-03,inactive but purchases seen
PIDINF000142,Anand Joseph,Mason,PIDOUT001719,Telangana,Warangal,7887288636,Gold,2025-09-21,same mobile as dealer
PIDINF000143,Sowmya Varma,Tile contractor,PIDOUT008626,Tamil Nadu,Vellore,9462164444,Bronze,2026-03-01,inactive but purchases seen
PIDINF000144,Farida Acharya,Carpenter,PIDOUT001576,Karnataka,Kalaburagi,9267743437,Inactive,2025-02-05,
PIDINF000145,Suresh Naidu,Waterproofing applicator,PIDOUT000250,Andhra Pradesh,Kadapa,6161975778,Silver,2024-06-03,mapped to old outlet
PIDINF000146,Irfan Patil,Tile contractor,PIDOUT006476,Tamil Nadu,Cuddalore,7751941841,Gold,20/11/2024,same mobile as dealer
PIDINF000147,Deepak Nair,Carpenter,PIDOUT001553,Tamil Nadu,Tirunelveli,8805353916,Bronze,10/08/2024,same mobile as dealer
PIDINF000148,Prakash Varma,Carpenter,PIDOUT008414,Andhra Pradesh,Visakhapatnam,7870001821,Gold,2025-10-01,mapped to old outlet
PIDINF000149,Senthil Prasad,Carpenter,PIDOUT008779,TELANGANA,Nalgonda,7284336831,Inactive,02/12/2025,same mobile as dealer
PIDINF000150,Rafiq Prasad,Painter,PIDOUT006516,Tamil Nadu,Coimbatore,8293132877,Inactive,2025-11-10,name in local language in app
PIDINF000151,Yusuf Rao,Painter,PIDOUT007655,Kerala,Kannur,6432532300,Gold,2025-05-23,same mobile as dealer
PIDINF000152,Rafiq Acharya,Mason,PIDOUT002339,Tamil Nadu,Tirunelveli,8136369015,Inactive,,inactive but purchases seen
PIDINF000153,Geetha Patil,Painter,PIDOUT003448,Tamil Nadu,Madurai,6931872165,Silver,2025-02-16,name in local language in app
PIDINF000154,Venkatesh Varma,Carpenter,PIDOUT007233,Karnataka,Belagavi,6927382338,Inactive,2025-07-01,name in local language in app
PIDINF000155,Arun Prasad,Tile contractor,PIDOUT005567,Tamil Nadu,Erode,9373900974,Silver,2025-07-30,inactive but purchases seen
PIDINF000156,Revathi Gowda,Mason,PIDOUT006447,Telangana,Nizamabad,9218337645,Platinum,2024-04-25,inactive but purchases seen
PIDINF000157,Manoj Kumar,Carpenter,PIDOUT007149,Kerala,Alappuzha,8147231720,Inactive,2025-02-21,inactive but purchases seen
PIDINF000158,Revathi Joseph,Waterproofing applicator,PIDOUT006442,TAMILNADU,Thanjavur,9605008419,Silver,2026-03-10,
PIDINF000159,Rafiq Reddy,Painter,PIDOUT007601,Tamil Nadu,Chennai,6071243618,Silver,2025-08-03,mapped to old outlet
PIDINF000160,Meena Menon,Tile contractor,PIDOUT008617,Telangana,Warangal,6391960199,Inactive,,mapped to old outlet
PIDINF000161,Deepak Patil,Waterproofing applicator,PIDOUT004749,Tamil Nadu,Madurai,6810823521,Inactive,2026-02-23,same mobile as dealer
PIDINF000162,Prakash Naidu,Waterproofing applicator,PIDOUT008616,Karnataka,Hubballi,9696301600,Platinum,2024-10-17,mapped to old outlet
PIDINF000163,Sowmya Reddy,Mason,PIDOUT008276,Puducherry,Karaikal,8578631948,Gold,2025-12-20,mapped to old outlet
PIDINF000164,Rafiq Reddy,Waterproofing applicator,PIDOUT002521,Andhra Pradesh,Nellore,6990937155,Bronze,2024-08-29,
PIDINF000165,Hari Pillai,Painter,PIDOUT007531,TS,Warangal,9860452671,Silver,2025-12-13,same mobile as dealer
PIDINF000166,Venkatesh Khan,Painter,PIDOUT002281,Telangana,Nizamabad,6815888259,Bronze,2025-08-30,same mobile as dealer
PIDINF000167,Rafiq Naidu,Mason,PIDOUT007511,KARNATAKA,Raichur,6096773627,Inactive,2024-07-12,same mobile as dealer
PIDINF000168,Bala Patil,Mason,PIDOUT007367,TAMILNADU,Tirunelveli,7481736918,Inactive,2025-11-22,name in local language in app
PIDINF000169,Anand Varma,Painter,PIDOUT004780,Andhra Pradesh,Nellore,9115095924,Silver,2026-02-03,mapped to old outlet
PIDINF000170,Geetha Naidu,Painter,PIDOUT005317,Tamil Nadu,Madurai,0,Bronze,29/08/2025,inactive but purchases seen
PIDINF000171,Venkatesh Rao,Tile contractor,PIDOUT004240,Kerala,Kottayam,9674727386,Bronze,2025-06-08,
PIDINF000172,Kavya Prasad,Waterproofing applicator,PIDOUT002117,Puducherry,Puducherry,9194849750,Bronze,2025-05-23,mapped to old outlet
PIDINF000173,Prakash Babu,Tile contractor,PIDOUT003508,Telangana,Karimnagar,8135575476,Inactive,2024-08-10,same mobile as dealer
PIDINF000174,Sowmya Varma,Waterproofing applicator,PIDOUT002012,Telangana,Warangal,9916245973,Bronze,2026-03-26,same mobile as dealer
PIDINF000175,Naveen Rao,Mason,PIDOUT002655,Tamil Nadu,Cuddalore,9339465465,Silver,25-Jan-26,name in local language in app
PIDINF000176,Prakash Nair,Painter,PIDOUT006307,KA,Hubballi,7108662448,Platinum,,same mobile as dealer
PIDINF000177,Yusuf Prasad,Mason,PIDOUT004759,Karnataka,Shivamogga,7612749082,Bronze,2025-08-04,mapped to old outlet
PIDINF000178,Sowmya Acharya,Mason,PIDOUT007797,Karnataka,Udupi,6789028669,Bronze,07/05/2025,
PIDINF000179,Senthil Iyer,Waterproofing applicator,PIDOUT002831,Karnataka,Hubballi,6563586722,Gold,2024-11-08,mapped to old outlet
PIDINF000180,Deepak Naidu,Waterproofing applicator,PIDOUT000508,Tamil Nadu,Erode,8247399218,Inactive,2026-01-14,same mobile as dealer
PIDINF000181,Ganesh Rao,Tile contractor,PIDOUT007447,KL,Kollam,7941112570,Platinum,2025-08-06,name in local language in app
PIDINF000182,Jagan Khan,Waterproofing applicator,PIDOUT005756,Telangana,Siddipet,7026967403,Gold,2026-03-02,inactive but purchases seen
PIDINF000183,Rafiq Patil,Painter,PIDOUT003562,Telangana,Suryapet,9669057240,Inactive,2025-08-16,name in local language in app
PIDINF000184,Yusuf Pillai,Tile contractor,PIDOUT008050,Karnataka,Ballari,7051039829,Gold,,mapped to old outlet
PIDINF000185,Naveen Prasad,Waterproofing applicator,PIDOUT000948,Telangana,Siddipet,8276935113,Silver,2024-05-12,mapped to old outlet
PIDINF000186,Prakash Shetty,Mason,PIDOUT001760,Karnataka,Mangaluru,8362406360,Inactive,2024-06-27,inactive but purchases seen
PIDINF000187,Yusuf Kumar,Waterproofing applicator,PIDOUT006400,Kerala,Alappuzha,6437383721,Silver,,inactive but purchases seen
PIDINF000188,Priya Nair,Waterproofing applicator,PIDOUT002807,Telangana,Warangal,7776712689,Inactive,06/06/2025,same mobile as dealer
PIDINF000189,Anand Das,Painter,PIDOUT004115,Andhra Pradesh,Vijayawada,9674003553,Platinum,2026-02-25,inactive but purchases seen
PIDINF000190,Bala Prasad,Tile contractor,PIDOUT006733,A.P.,Kadapa,8097675963,Bronze,04-Feb-26,same mobile as dealer
PIDINF000191,Irfan Das,Waterproofing applicator,PIDOUT006821,Tamil Nadu,Thanjavur,6112398880,Gold,05/10/2025,
PIDINF000192,Lakshmi Patil,Tile contractor,PIDOUT004051,Andhra Pradesh,Vijayawada,8902424095,Platinum,2025-02-03,name in local language in app
PIDINF000193,Revathi Rao,Painter,PIDOUT004797,Andhra Pradesh,Anantapur,6775393193,Gold,2026-02-23,mapped to old outlet
PIDINF000194,Deepak Varma,Mason,PIDOUT008051,Karnataka,Udupi,9809648466,Silver,2025-06-23,mapped to old outlet
PIDINF000195,Geetha Joseph,Mason,PIDOUT008595,KA,Udupi,NA,Gold,10/29/2025,same mobile as dealer
PIDINF000196,Sowmya Iyer,Carpenter,PIDOUT004848,Andhra Pradesh,Visakhapatnam,6405788355,Platinum,,name in local language in app
PIDINF000197,Deepak Varma,Carpenter,PIDOUT000555,KA,Shivamogga,6785485141,Inactive,2024-09-30,
PIDINF000198,Kavya Babu,Painter,PIDOUT004776,Tamil Nadu,Hosur,6245394484,Gold,01/06/2026,inactive but purchases seen
PIDINF000199,Karthik Varma,Mason,PIDOUT006733,Karnataka,Kalaburagi,8738718709,Inactive,,same mobile as dealer
PIDINF000200,Anand Acharya,Painter,PIDOUT006312,Telangana,Karimnagar,6662399165,Gold,2024-07-15,inactive but purchases seen
PIDINF000201,Arun Reddy,Mason,PIDOUT008097,Telangana,Nalgonda,8183259990,Platinum,2024-05-19,inactive but purchases seen
PIDINF000202,Ganesh Naidu,Carpenter,PIDOUT001000,TG,Suryapet,6109842109,Bronze,2025-11-30,
PIDINF000203,Chandra Gowda,Tile contractor,PIDOUT000140,Andhra Pradesh,Visakhapatnam,8253610825,Gold,,same mobile as dealer
PIDINF000204,Arun Varma,Waterproofing applicator,PIDOUT008968,Andhra Pradesh,Visakhapatnam,8995483828,Silver,,same mobile as dealer
