farmer_id,farmer_name,mapped_store_id,mapped_dealer_id,state,district,village,mobile,primary_crop,acreage,irrigation,data_quality_note
CORFRM0000081,Sowmya Pillai,CORSTR00218,,Andhra Pradesh,Anantapur,Cheruvu,9205787528,Cotton,29.21,unknown,same mobile in family
CORFRM0000082,Farida Prasad,CORSTR00968,,Andhra Pradesh,Prakasam,Halli,6888019803,Groundnut,6.81,drip,
CORFRM0000083,Farida Kumar,CORSTR00511,CORDLR002143,Andhra Pradesh,Kurnool,Pudur,9747362693,Chilli,16.7,canal,mapped to nearest store
CORFRM0000084,Chandra Khan,CORSTR00315,,TELANGANA,Khammam,Pudur,8403861382,Paddy,31.69,canal,
CORFRM0000085,Senthil Varma,CORSTR00817,,Telangana,Khammam,Melur,7256251551,Vegetables,12.44,canal,
CORFRM0000086,Lokesh Naidu,CORSTR00268,,Karnataka,Kalaburagi,Kalaburagi Rural,8644315625,Maize,9.91,drip,crop not updated
CORFRM0000087,Yusuf Nair,CORSTR00929,,Andhra Pradesh,Tirupati,Pudur,0,Chilli,32.52,unknown,same mobile in family
CORFRM0000088,Deepak Kumar,CORSTR00498,,A.P.,East Godavari,Melur,7104489262,Cotton,34.24,borewell,
CORFRM0000089,Prakash Naidu,CORSTR00685,,Andhra Pradesh,Anantapur,Melur,6294718332,Banana,13.62,drip,crop not updated
CORFRM0000090,Arun Naidu,CORSTR00410,,Tamil Nadu,Tiruchirappalli,Rampur,8564070270,Paddy,20.62,drip,mapped to nearest store
CORFRM0000091,Deepak Iyer,CORSTR00694,,Andhra Pradesh,Anantapur,Cheruvu,6205108195,Turmeric,21.67,drip,
CORFRM0000092,Priya Nair,CORSTR01053,CORDLR000779,Andhra Pradesh,Nellore,Nellore Rural,6969973271,Sugarcane,21.28,canal,
CORFRM0000093,Sanjay Menon,CORSTR00240,,Telangana,Nalgonda,Melur,6706537578,Paddy,23.09,unknown,village spelling mismatch
CORFRM0000094,Hari Joseph,CORSTR00657,,Telangana,Adilabad,Rampur,9327059276,Chilli,13.73,rainfed,
CORFRM0000095,Rafiq Shetty,CORSTR00510,CORDLR001845,Andhra Pradesh,Kakinada,Rampur,8873355551,Mango,22.62,drip,village spelling mismatch
CORFRM0000096,Ganesh Rao,CORSTR01059,,Telangana,Karimnagar,Rampur,9351254991,Coconut,24.63,canal,
CORFRM0000097,Anand Nair,CORSTR00052,,Andhra Pradesh,Kadapa,Cheruvu,6270235233,Maize,22.3,canal,mapped to nearest store
CORFRM0000098,Irfan Khan,CORSTR00323,,Karnataka,Shivamogga,Cheruvu,6647863251,Chilli,31.6,rainfed,mapped to nearest store
CORFRM0000099,Lokesh Pillai,CORSTR00743,CORDLR002346,Telangana,Khammam,Palem,7932952490,Banana,26.3,unknown,
CORFRM0000100,Chandra Das,CORSTR00789,,Andhra Pradesh,Krishna,Kottapalli,6752103083,Vegetables,20.08,drip,mapped to nearest store
CORFRM0000101,Senthil Khan,CORSTR00942,,Telangana,Mahbubnagar,Pudur,6400625226,Chilli,17.37,borewell,crop not updated
CORFRM0000102,Prakash Das,CORSTR00202,,Andhra Pradesh,Tirupati,Tirupati Rural,,Coconut,8.42,rainfed,
CORFRM0000103,Sanjay Das,CORSTR00348,CORDLR001667,Andhra Pradesh,Tirupati,Melur,6558860508,Mango,7.59,unknown,same mobile in family
CORFRM0000104,Irfan Pillai,CORSTR00093,CORDLR000483,Andhra Pradesh,East Godavari,Pudur,8317189758,Maize,28.27,rainfed,
CORFRM0000105,Deepak Prasad,CORSTR00035,CORDLR002543,KA,Davanagere,Palem,6929413365,Coconut,10.72,drip,mapped to nearest store
CORFRM0000106,Farida Varma,CORSTR00613,,Andhra Pradesh,Guntur,Melur,9169290715,Mango,15.86,canal,crop not updated
CORFRM0000107,Manoj Gowda,CORSTR00771,CORDLR000762,Andhra Pradesh,Guntur,Cheruvu,6448936665,Sugarcane,23.42,borewell,crop not updated
CORFRM0000108,Manoj Iyer,CORSTR01021,,Andhra Pradesh,East Godavari,Halli,8932699022,Groundnut,17.29,canal,
CORFRM0000109,Revathi Naidu,CORSTR00001,CORDLR002441,KA,Kalaburagi,Halli,9529131870,Chilli,18.75,borewell,
CORFRM0000110,Rafiq Naidu,CORSTR00908,,Andhra Pradesh,Kurnool,Melur,7839865627,Maize,25.75,drip,village spelling mismatch
CORFRM0000111,Arun Varma,CORSTR00942,CORDLR002861,Karnataka,Belagavi,Halli,7225159099,Vegetables,27.5,canal,same mobile in family
CORFRM0000112,Farida Khan,CORSTR00037,CORDLR002336,Andhra Pradesh,Visakhapatnam,Pudur,6894185426,Groundnut,21.16,drip,village spelling mismatch
CORFRM0000113,Venkatesh Prasad,CORSTR00062,,KARNATAKA,Mysuru,Cheruvu,8156360839,Groundnut,25.18,borewell,village spelling mismatch
CORFRM0000114,Jagan Das,CORSTR00088,,Andhra Pradesh,Kurnool,Halli,8143328423,Maize,10.31,canal,crop not updated
CORFRM0000115,Chandra Reddy,CORSTR00850,,Telangana,Warangal,Kottapalli,9067278189,Sugarcane,12.19,rainfed,
CORFRM0000116,Lakshmi Rao,CORSTR00867,CORDLR000317,AP,Kadapa,Palem,6699049061,Cotton,3.61,unknown,crop not updated
CORFRM0000117,Karthik Kumar,CORSTR01049,,Karnataka,Udupi,Palem,9475021564,Vegetables,19.45,rainfed,mapped to nearest store
CORFRM0000118,Kavya Patil,CORSTR00458,CORDLR002218,Andhra Pradesh,Prakasam,Rampur,9190022232,Turmeric,14.28,canal,same mobile in family
CORFRM0000119,Geetha Shetty,CORSTR00638,CORDLR002036,Telangana,Suryapet,Palem,6758752453,Coconut,27.14,drip,same mobile in family
CORFRM0000120,Bala Acharya,CORSTR00439,CORDLR001490,Tamil Nadu,Krishnagiri,Halli,9261331660,Cotton,11.76,unknown,same mobile in family
CORFRM0000121,Irfan Rao,CORSTR00061,,Telangana,Khammam,Palem,8077229078,Vegetables,9.34,drip,crop not updated
CORFRM0000122,Meena Patil,CORSTR00416,,Andhra Pradesh,Visakhapatnam,Melur,6762719100,Cotton,14.23,unknown,same mobile in family
CORFRM0000123,Anand Shetty,CORSTR00036,CORDLR000495,Karnataka,Tumakuru,Halli,8227687788,Banana,21.08,borewell,crop not updated
CORFRM0000124,Deepak Khan,CORSTR00195,,AP,Nellore,Cheruvu,7321925672,Turmeric,33.11,drip,crop not updated
CORFRM0000125,Priya Shetty,CORSTR00398,CORDLR001248,Andhra Pradesh,Prakasam,Ongole Rural,6977218044,Maize,34.85,canal,same mobile in family
CORFRM0000126,Prakash Kumar,CORSTR00512,CORDLR002145,Andhra Pradesh,Visakhapatnam,Melur,,Coconut,27.06,borewell,crop not updated
CORFRM0000127,Naveen Kumar,CORSTR00147,,Andhra Pradesh,Krishna,Cheruvu,9486972925,Groundnut,17.39,rainfed,same mobile in family
CORFRM0000128,Lokesh Prasad,CORSTR00312,CORDLR001013,Andhra Pradesh,Kakinada,Cheruvu,9552349166,Chilli,5.05,rainfed,same mobile in family
CORFRM0000129,Rafiq Nair,CORSTR01151,CORDLR002356,Andhra Pradesh,Guntur,Halli,7552431956,Banana,3.96,drip,same mobile in family
CORFRM0000130,Irfan Khan,CORSTR01072,CORDLR002921,Andhra Pradesh,Kadapa,Pudur,9304432101,Sugarcane,31.45,drip,
CORFRM0000131,Lakshmi Patil,CORSTR00110,,Karnataka,Shivamogga,Halli,9203135913,Cotton,19.98,canal,crop not updated
CORFRM0000132,Hari Khan,CORSTR00535,CORDLR000670,Karnataka,Ballari,Melur,7616629548,Mango,32.59,drip,mapped to nearest store
CORFRM0000133,Geetha Acharya,CORSTR00689,,Andhra Pradesh,Prakasam,Cheruvu,7088658792,Sugarcane,22.26,rainfed,village spelling mismatch
CORFRM0000134,Venkatesh Gowda,CORSTR00645,,Andhra Pradesh,Anantapur,Cheruvu,8497922868,Vegetables,31.16,rainfed,same mobile in family
CORFRM0000135,Suresh Shetty,CORSTR00077,,Tamil Nadu,Erode,Halli,8012109335,Chilli,8.71,rainfed,crop not updated
CORFRM0000136,Lakshmi Prasad,CORSTR00038,CORDLR001313,Karnataka,Ballari,Palem,7911645040,Paddy,2.25,rainfed,
CORFRM0000137,Jagan Patil,CORSTR00293,,Andhra Pradesh,Kadapa,Kottapalli,NA,Turmeric,5.4,unknown,same mobile in family
CORFRM0000138,Priya Prasad,CORSTR00464,,Tamil Nadu,Tiruchirappalli,Cheruvu,8325286293,Mango,11.35,canal,mapped to nearest store
CORFRM0000139,Kavya Pillai,CORSTR00658,CORDLR002614,Karnataka,Belagavi,Kottapalli,9631588337,Paddy,9.55,unknown,village spelling mismatch
CORFRM0000140,Lakshmi Pillai,CORSTR01101,,Karnataka,Belagavi,Kottapalli,7109498144,Mango,27.35,drip,same mobile in family
CORFRM0000141,Rafiq Babu,CORSTR00124,,Andhra Pradesh,Prakasam,Ongole Rural,8012721343,Cotton,22.69,borewell,crop not updated
CORFRM0000142,Sowmya Naidu,CORSTR00079,,Telangana,Suryapet,Cheruvu,8058801666,Cotton,28.27,canal,crop not updated
CORFRM0000143,Senthil Rao,CORSTR00529,,Andhra Pradesh,Kakinada,Cheruvu,9234058752,Groundnut,29.47,borewell,mapped to nearest store
CORFRM0000144,Farida Babu,CORSTR00602,CORDLR002465,Andhra Pradesh,East Godavari,Kottapalli,6982945163,Mango,16.52,canal,same mobile in family
CORFRM0000145,Naveen Iyer,CORSTR00597,,Telangana,Suryapet,Pudur,7082142865,Chilli,17.71,unknown,same mobile in family
CORFRM0000146,Meena Kumar,CORSTR00882,,KA,Raichur,Palem,9486125925,Groundnut,31.2,unknown,crop not updated
CORFRM0000147,Anand Acharya,CORSTR01047,,Andhra Pradesh,Krishna,Cheruvu,6740375778,Mango,23.1,unknown,mapped to nearest store
CORFRM0000148,Priya Babu,CORSTR00190,,Telangana,Nalgonda,Pudur,9711046342,Cotton,19.85,canal,same mobile in family
CORFRM0000149,Revathi Joseph,CORSTR00261,CORDLR001534,Andhra Pradesh,Kakinada,Rampur,9455093563,Maize,33.47,borewell,
CORFRM0000150,Priya Das,CORSTR00574,,Telangana,Adilabad,Adilabad Rural,9223739394,Vegetables,8.74,canal,village spelling mismatch
CORFRM0000151,Yusuf Rao,CORSTR00688,,Andhra Pradesh,Visakhapatnam,Palem,6315963409,Maize,29.44,rainfed,same mobile in family
CORFRM0000152,Revathi Menon,CORSTR00126,CORDLR000345,Karnataka,Raichur,Halli,6100697345,Vegetables,32.88,canal,village spelling mismatch
CORFRM0000153,Sowmya Prasad,CORSTR00131,CORDLR000744,Karnataka,Ballari,Melur,7310969788,Banana,21.39,drip,same mobile in family
CORFRM0000154,Venkatesh Prasad,CORSTR00370,CORDLR000122,Andhra Pradesh,Prakasam,Palem,7796896893,Vegetables,0.5,borewell,mapped to nearest store
CORFRM0000155,Prakash Rao,CORSTR00475,,Tamil Nadu,Coimbatore,Kottapalli,8069389054,Banana,7.35,unknown,village spelling mismatch
CORFRM0000156,Revathi Patil,CORSTR00839,,Telangana,Nizamabad,Melur,6607224390,Sugarcane,24.37,unknown,mapped to nearest store
CORFRM0000157,Farida Das,CORSTR00114,CORDLR002521,Andhra Pradesh,Kurnool,Melur,9192664604,Paddy,3.79,unknown,mapped to nearest store
CORFRM0000158,Lakshmi Varma,CORSTR00244,,Andhra Pradesh,Tirupati,Pudur,7424206976,Maize,8.33,borewell,same mobile in family
CORFRM0000159,Sowmya Patil,CORSTR00598,,Telangana,Nizamabad,Melur,9955398639,Banana,18.77,rainfed,village spelling mismatch
CORFRM0000160,Lokesh Prasad,CORSTR01134,,Andhra Pradesh,Tirupati,Rampur,7195283067,Sugarcane,28.43,canal,same mobile in family
CORFRM0000161,Geetha Prasad,CORSTR00965,,Andhra Pradesh,Guntur,Guntur Rural,9271692086,Coconut,27.94,drip,mapped to nearest store
CORFRM0000162,Sowmya Naidu,CORSTR00196,CORDLR002098,Telangana,Warangal,Warangal Rural,6332455473,Paddy,30.89,drip,
CORFRM0000163,Chandra Naidu,CORSTR01058,CORDLR002199,Karnataka,Tumakuru,Rampur,8284669001,Mango,34.85,unknown,crop not updated
CORFRM0000164,Farida Das,CORSTR00981,,Andhra Pradesh,Kurnool,Halli,6248948346,Groundnut,2.72,drip,crop not updated
CORFRM0000165,Arun Nair,CORSTR01053,CORDLR002879,Telangana,Mahbubnagar,Kottapalli,7210450260,Turmeric,6.67,canal,crop not updated
CORFRM0000166,Suresh Joseph,CORSTR00636,CORDLR002428,Karnataka,Shivamogga,Halli,8296361152,Vegetables,3.28,rainfed,crop not updated
CORFRM0000167,Farida Rao,CORSTR00322,CORDLR001245,Karnataka,Bengaluru Urban,Bengaluru Rural,6656016121,Banana,6.16,drip,village spelling mismatch
CORFRM0000168,Priya Babu,CORSTR01109,,KA,Bengaluru Urban,Rampur,6359540723,Sugarcane,32.23,unknown,
CORFRM0000169,Karthik Naidu,CORSTR00571,CORDLR000154,ANDHRA,Tirupati,Halli,8763685800,Coconut,8.08,borewell,
CORFRM0000170,Arun Reddy,CORSTR00581,,Telangana,Adilabad,Melur,8717765817,Coconut,29.65,drip,mapped to nearest store
CORFRM0000171,Bala Rao,CORSTR00974,,Karnataka,Dharwad,Rampur,8245493630,Groundnut,14.86,borewell,same mobile in family
CORFRM0000172,Revathi Das,CORSTR00148,,Andhra Pradesh,Guntur,Melur,6998918540,Mango,14.89,canal,same mobile in family
CORFRM0000173,Rafiq Khan,CORSTR00365,CORDLR002459,Karnataka,Davanagere,Cheruvu,9223338662,Vegetables,7.21,rainfed,village spelling mismatch
CORFRM0000174,Senthil Das,CORSTR01070,,Telangana,Warangal,Halli,9606584906,Turmeric,9.67,canal,village spelling mismatch
CORFRM0000175,Geetha Gowda,CORSTR00864,CORDLR000253,Andhra Pradesh,Guntur,Kottapalli,0,Chilli,30.41,drip,village spelling mismatch
CORFRM0000176,Farida Iyer,CORSTR00988,,Karnataka,Shivamogga,Kottapalli,7304192774,Paddy,22.46,borewell,crop not updated
CORFRM0000177,Naveen Khan,CORSTR00583,,Andhra Pradesh,Tirupati,Rampur,9582281070,Groundnut,24.24,borewell,same mobile in family
CORFRM0000178,Arun Iyer,CORSTR00546,,Andhra Pradesh,Nellore,Rampur,9633130685,Turmeric,17.11,canal,
CORFRM0000179,Venkatesh Pillai,CORSTR00366,CORDLR002664,Karnataka,Dakshina Kannada,Cheruvu,8855492584,Paddy,3.03,borewell,village spelling mismatch
CORFRM0000180,Yusuf Varma,CORSTR00524,,Andhra Pradesh,Kakinada,Rampur,7866748327,Maize,21.11,borewell,village spelling mismatch
CORFRM0000181,Kavya Reddy,CORSTR00102,,Telangana,Suryapet,Suryapet Rural,7093164378,Chilli,3.76,drip,village spelling mismatch
CORFRM0000182,Anand Kumar,CORSTR00769,,Andhra Pradesh,Kadapa,Halli,7341401759,Turmeric,31.54,rainfed,village spelling mismatch
CORFRM0000183,Yusuf Kumar,CORSTR00732,,TELANGANA,Khammam,Melur,8183778387,Cotton,17.36,canal,
CORFRM0000184,Farida Acharya,CORSTR00413,CORDLR000562,Andhra Pradesh,Kurnool,Cheruvu,8902957127,Groundnut,13.96,drip,
CORFRM0000185,Sanjay Varma,CORSTR00330,,Andhra Pradesh,Krishna,Melur,9505691976,Coconut,6.03,drip,village spelling mismatch
CORFRM0000186,Ganesh Prasad,CORSTR00427,CORDLR000150,Telangana,Hyderabad,Rampur,NA,Mango,14.54,drip,mapped to nearest store
CORFRM0000187,Karthik Shetty,CORSTR00355,,Telangana,Warangal,Cheruvu,6816530967,Groundnut,4.11,rainfed,village spelling mismatch
CORFRM0000188,Lakshmi Gowda,CORSTR00522,,Telangana,Hyderabad,Cheruvu,6382395901,Turmeric,21.93,unknown,same mobile in family
CORFRM0000189,Kavya Khan,CORSTR00390,CORDLR000927,Andhra Pradesh,Anantapur,Melur,6343255441,Mango,18.36,unknown,village spelling mismatch
CORFRM0000190,Meena Menon,CORSTR00343,,Telangana,Hyderabad,Halli,6762276182,Vegetables,2.82,borewell,same mobile in family
CORFRM0000191,Anand Naidu,CORSTR00910,CORDLR000795,Andhra Pradesh,Guntur,Melur,9102628278,Coconut,12.37,drip,village spelling mismatch
