contractor_id,contractor_name,mapped_dealer_id,state,city,mobile,tier,specialty,last_training_date,data_quality_note
ASPCON000031,Chandra Kumar,ASPDLR000080,Telangana,Siddipet,8432386156,Elite,Luxury,,same mobile as helper
ASPCON000032,Ganesh Joseph,ASPDLR000515,Telangana,Siddipet,7186473497,Gold,Projects,,inactive but claims points
ASPCON000033,Rafiq Rao,ASPDLR001000,Karnataka,Tumakuru,7470681205,Elite,Exterior,04/09/2023,same mobile as helper
ASPCON000034,Suresh Prasad,ASPDLR000449,Andhra Pradesh,Rajahmundry,8514082810,Registered,Projects,2023-06-19,
ASPCON000035,Arun Rao,ASPDLR000104,Karnataka,Belagavi,7056926978,Elite,Interior repaint,,same mobile as helper
ASPCON000036,Priya Reddy,ASPDLR000892,Karnataka,Shivamogga,NA,Elite,Waterproofing,23-Sep-24,same mobile as helper
ASPCON000037,Hari Gowda,ASPDLR000488,Kerala,Kannur,8300499966,Dormant,Luxury,2024-02-29,
ASPCON000038,Anand Prasad,ASPDLR000335,Karnataka,Shivamogga,6637146752,Gold,Exterior,2023-06-09,same mobile as helper
ASPCON000039,Chandra Varma,ASPDLR000856,Andhra Pradesh,Rajahmundry,8445332545,Silver,Luxury,09/11/2025,inactive but claims points
ASPCON000040,Rafiq Menon,ASPDLR000464,Andhra Pradesh,Guntur,6776980507,Elite,Waterproofing,04-Jul-25,
ASPCON000041,Hari Reddy,ASPDLR000082,Karnataka,Mysuru,9651397638,Elite,Projects,,
ASPCON000042,Chandra Rao,ASPDLR000144,A.P.,Vijayawada,NA,Dormant,Interior repaint,2025-06-29,inactive but claims points
ASPCON000043,Arun Babu,ASPDLR000887,Karnataka,Raichur,7193388007,Silver,Luxury,04-Jul-25,
ASPCON000044,Revathi Reddy,ASPDLR000169,Karnataka,Hubballi,7118051488,Gold,Exterior,,inactive but claims points
ASPCON000045,Deepak Gowda,ASPDLR000648,Karnataka,Davanagere,8876984300,Gold,Interior repaint,2023-04-08,inactive but claims points
ASPCON000046,Sowmya Khan,ASPDLR000626,Karnataka,Kalaburagi,9371367373,Gold,Exterior,,inactive but claims points
ASPCON000047,Anand Iyer,ASPDLR000834,Telangana,Karimnagar,6486852113,Silver,Waterproofing,,dealer mapping old
ASPCON000048,Lokesh Prasad,ASPDLR000783,Karnataka,Udupi,9915808609,Registered,Projects,,dealer mapping old
ASPCON000049,Prakash Pillai,ASPDLR000373,Telangana,Hyderabad,7317484626,Registered,Waterproofing,,spelling mismatch
ASPCON000050,Bala Babu,ASPDLR000930,Telangana,Nalgonda,8203534674,Dormant,Exterior,2026-03-14,dealer mapping old
ASPCON000051,Deepak Shetty,ASPDLR000996,Tamil Nadu,Tirunelveli,9797728481,Registered,Projects,02/14/2025,dealer mapping old
ASPCON000052,Deepak Shetty,ASPDLR000345,Andhra Pradesh,Kadapa,7550600576,Dormant,Projects,09/03/2024,spelling mismatch
ASPCON000053,Kavya Prasad,ASPDLR000533,Andhra Pradesh,Vijayawada,7358498901,Elite,Exterior,2025-11-16,same mobile as helper
ASPCON000054,Hari Reddy,ASPDLR000109,Telangana,Suryapet,9970645611,Gold,Exterior,,dealer mapping old
ASPCON000055,Lokesh Naidu,ASPDLR000580,Telangana,Karimnagar,6671999146,Gold,Interior repaint,2024-06-26,
ASPCON000056,Sanjay Naidu,ASPDLR000393,Andhra Pradesh,Tirupati,7944462930,Silver,Interior repaint,,
ASPCON000057,Kavya Kumar,ASPDLR000219,Tamil Nadu,Coimbatore,8505650697,Elite,Projects,2023-07-28,dealer mapping old
ASPCON000058,Farida Iyer,ASPDLR000577,Andhra Pradesh,Nellore,7815611302,Silver,Waterproofing,2026-02-28,inactive but claims points
ASPCON000059,Manoj Das,ASPDLR000810,Andhra Pradesh,Visakhapatnam,9522643099,Silver,Waterproofing,2023-04-04,dealer mapping old
ASPCON000060,Deepak Patil,ASPDLR000999,Andhra Pradesh,Guntur,8570794506,Elite,Luxury,19/01/2026,
ASPCON000061,Meena Khan,ASPDLR000070,Karnataka,Shivamogga,6644352689,Silver,Waterproofing,,
ASPCON000062,Deepak Joseph,ASPDLR000220,AP,Rajahmundry,8225075087,Dormant,Exterior,,spelling mismatch
ASPCON000063,Rafiq Khan,ASPDLR000313,Andhra Pradesh,Kadapa,9866204651,Gold,Exterior,,
ASPCON000064,Naveen Gowda,ASPDLR000406,Telangana,Nizamabad,7475476403,Gold,Waterproofing,2024-05-02,same mobile as helper
ASPCON000065,Farida Varma,ASPDLR000892,Karnataka,Davanagere,6354888509,Silver,Exterior,2025-12-12,
ASPCON000066,Manoj Varma,ASPDLR000749,Karnataka,Mangaluru,7148695330,Dormant,Waterproofing,2024-02-23,dealer mapping old
ASPCON000067,Geetha Naidu,ASPDLR000914,Andhra Pradesh,Nellore,6042481199,Elite,Exterior,,spelling mismatch
ASPCON000068,Kavya Patil,ASPDLR000255,Kerala,Kottayam,8727323118,Gold,Exterior,28-Mar-23,
ASPCON000069,Irfan Iyer,ASPDLR000937,Tamil Nadu,Tirunelveli,8917013477,Gold,Waterproofing,27/01/2024,dealer mapping old
ASPCON000070,Ganesh Rao,ASPDLR000785,Tamil Nadu,Coimbatore,7654718241,Silver,Waterproofing,,inactive but claims points
ASPCON000071,Deepak Shetty,ASPDLR000545,TG,Nalgonda,7131194790,Registered,Waterproofing,09/02/2024,dealer mapping old
ASPCON000072,Revathi Das,ASPDLR000684,Tamilnadu,Chennai,7318210097,Registered,Interior repaint,,spelling mismatch
ASPCON000073,Chandra Patil,ASPDLR000037,Karnataka,Tumakuru,7588900658,Registered,Luxury,2025-04-03,dealer mapping old
ASPCON000074,Hari Prasad,ASPDLR000609,Tamil Nadu,Chennai,6438656426,Registered,Waterproofing,,
ASPCON000075,Lokesh Joseph,ASPDLR000695,Telangana,Warangal,6973950066,Silver,Waterproofing,,
ASPCON000076,Prakash Patil,ASPDLR000799,Andhra Pradesh,Rajahmundry,9401325689,Silver,Interior repaint,2024-04-28,dealer mapping old
ASPCON000077,Geetha Iyer,ASPDLR000161,Andhra Pradesh,Kakinada,6818149868,Gold,Luxury,2024-07-10,spelling mismatch
ASPCON000078,Jagan Khan,ASPDLR000573,Kerala,Thrissur,9116723290,Elite,Interior repaint,,same mobile as helper
ASPCON000079,Chandra Patil,ASPDLR000386,TELANGANA,Mahbubnagar,6797184442,Registered,Interior repaint,,same mobile as helper
ASPCON000080,Lakshmi Menon,ASPDLR000925,Telangana,Nizamabad,9634930046,Silver,Waterproofing,,same mobile as helper
ASPCON000081,Irfan Menon,ASPDLR000458,Telangana,Khammam,8374207032,Dormant,Luxury,2025-08-19,same mobile as helper
ASPCON000082,Priya Rao,ASPDLR000629,Karnataka,Belagavi,6703927446,Registered,Interior repaint,09/18/2023,dealer mapping old
ASPCON000083,Karthik Nair,ASPDLR000691,Telangana,Suryapet,8038694590,Registered,Projects,,same mobile as helper
ASPCON000084,Priya Rao,ASPDLR000173,Telangana,Nalgonda,9304042431,Registered,Exterior,2024-03-03,same mobile as helper
ASPCON000085,Anand Reddy,ASPDLR000096,Andhra Pradesh,Kakinada,8785116996,Gold,Exterior,2025-01-12,spelling mismatch
ASPCON000086,Anand Iyer,ASPDLR000430,Telangana,Nalgonda,9069985866,Gold,Interior repaint,,same mobile as helper
ASPCON000087,Irfan Das,ASPDLR000828,Karnataka,Tumakuru,7135123342,Silver,Luxury,,
ASPCON000088,Karthik Patil,ASPDLR000385,Karnataka,Kalaburagi,8038535791,Gold,Projects,2026-03-21,dealer mapping old
ASPCON000089,Irfan Reddy,ASPDLR000955,Tamil Nadu,Kanchipuram,6457443512,Silver,Projects,,
ASPCON000090,Karthik Acharya,ASPDLR000677,Karnataka,Bengaluru,8875144340,Elite,Interior repaint,,spelling mismatch
ASPCON000091,Anand Menon,ASPDLR000947,Telangana,Suryapet,8213950058,Gold,Projects,2023-06-07,spelling mismatch
ASPCON000092,Ganesh Gowda,ASPDLR000019,Andhra Pradesh,Guntur,9262329902,Gold,Interior repaint,,inactive but claims points
ASPCON000093,Revathi Joseph,ASPDLR000030,Karnataka,Ballari,,Silver,Projects,,dealer mapping old
ASPCON000094,Suresh Patil,ASPDLR000553,TS,Hyderabad,6533687980,Dormant,Exterior,2025-02-01,spelling mismatch
ASPCON000095,Senthil Patil,ASPDLR000505,Tamil Nadu,Chennai,6401390175,Gold,Projects,,dealer mapping old
ASPCON000096,Rafiq Nair,ASPDLR000236,Kerala,Kochi,6922067542,Gold,Waterproofing,,inactive but claims points
ASPCON000097,Arun Kumar,ASPDLR000027,Andhra Pradesh,Anantapur,7996876081,Gold,Luxury,,spelling mismatch
ASPCON000098,Rafiq Patil,ASPDLR000524,Tamil Nadu,Chennai,8496388637,Silver,Projects,2025-07-12,same mobile as helper
ASPCON000099,Jagan Acharya,ASPDLR000378,Tamil Nadu,Coimbatore,7673257422,Dormant,Exterior,2023-09-07,
ASPCON000100,Sowmya Naidu,ASPDLR000630,Karnataka,Tumakuru,,Elite,Exterior,2023-01-03,same mobile as helper
ASPCON000101,Bala Rao,ASPDLR000458,Kerala,Kochi,6903857433,Registered,Projects,2024-05-14,
ASPCON000102,Hari Khan,ASPDLR000071,Tamil Nadu,Salem,9326108161,Elite,Projects,,
ASPCON000103,Rafiq Joseph,ASPDLR000421,Andhra Pradesh,Rajahmundry,9958950447,Registered,Projects,2024-07-02,spelling mismatch
ASPCON000104,Revathi Khan,ASPDLR000126,Tamil Nadu,Chennai,7948051067,Registered,Waterproofing,,same mobile as helper
ASPCON000105,Anand Das,ASPDLR000377,Tamil Nadu,Thanjavur,7825792794,Gold,Waterproofing,2023-01-28,spelling mismatch
ASPCON000106,Jagan Acharya,ASPDLR000696,Karnataka,Mysuru,9087241276,Registered,Waterproofing,,
ASPCON000107,Kavya Prasad,ASPDLR000338,Puducherry,Karaikal,8343662704,Silver,Luxury,,dealer mapping old
ASPCON000108,Meena Joseph,ASPDLR000840,Kerala,Thrissur,6422945890,Silver,Waterproofing,2023-04-26,same mobile as helper
ASPCON000109,Karthik Khan,ASPDLR000589,Andhra Pradesh,Kadapa,9600440081,Registered,Interior repaint,,dealer mapping old
ASPCON000110,Irfan Babu,ASPDLR000579,Telangana,Khammam,8670109068,Dormant,Waterproofing,2025-03-14,inactive but claims points
ASPCON000111,Geetha Joseph,ASPDLR000926,Kerala,Kannur,8547962427,Gold,Interior repaint,2023-09-04,dealer mapping old
ASPCON000112,Meena Khan,ASPDLR000431,Tamil Nadu,Tirunelveli,6568035750,Silver,Luxury,2024-11-27,spelling mismatch
ASPCON000113,Manoj Babu,ASPDLR000447,Telangana,Karimnagar,9995667423,Dormant,Waterproofing,2024-12-10,
ASPCON000114,Ganesh Kumar,ASPDLR000026,Andhra Pradesh,Rajahmundry,9989718187,Gold,Interior repaint,17-Dec-25,same mobile as helper
ASPCON000115,Suresh Gowda,ASPDLR000732,Andhra Pradesh,Kadapa,7460192766,Dormant,Waterproofing,,
ASPCON000116,Naveen Iyer,ASPDLR000673,Karnataka,Ballari,8598376563,Elite,Projects,06/29/2024,dealer mapping old
ASPCON000117,Senthil Menon,ASPDLR000393,Telangana,Suryapet,9361978165,Elite,Interior repaint,2023-07-01,inactive but claims points
ASPCON000118,Ganesh Acharya,ASPDLR000354,Andhra Pradesh,Kakinada,6105759104,Elite,Projects,23-Aug-23,same mobile as helper
ASPCON000119,Meena Gowda,ASPDLR000712,Tamil Nadu,Hosur,9226072253,Gold,Exterior,2023-09-27,spelling mismatch
ASPCON000120,Revathi Das,ASPDLR000649,Tamil Nadu,Hosur,8918721301,Dormant,Projects,2024-01-04,same mobile as helper
ASPCON000121,Sanjay Kumar,ASPDLR000348,Karnataka,Davanagere,7849374771,Elite,Projects,2025-01-28,spelling mismatch
ASPCON000122,Meena Varma,ASPDLR000817,KL,Palakkad,7928600764,Silver,Interior repaint,,
ASPCON000123,Anand Patil,ASPDLR000842,Telangana,Mahbubnagar,9705570409,Dormant,Waterproofing,2025-11-20,spelling mismatch
ASPCON000124,Sowmya Khan,ASPDLR000017,Telangana,Nizamabad,6195390777,Dormant,Waterproofing,,inactive but claims points
ASPCON000125,Priya Pillai,ASPDLR000425,Puducherry,Karaikal,7834957855,Registered,Waterproofing,06/27/2025,inactive but claims points
ASPCON000126,Jagan Naidu,ASPDLR000246,Tamil Nadu,Chennai,7314587952,Elite,Exterior,2025-08-02,spelling mismatch
ASPCON000127,Meena Reddy,ASPDLR000879,Telangana,Hyderabad,9006417689,Dormant,Projects,,inactive but claims points
ASPCON000128,Geetha Kumar,ASPDLR000882,Tamil Nadu,Coimbatore,7071383717,Registered,Luxury,2024-08-14,dealer mapping old
ASPCON000129,Jagan Patil,ASPDLR000483,Tamil Nadu,Salem,6127448765,Silver,Exterior,2024-12-23,same mobile as helper
ASPCON000130,Manoj Acharya,ASPDLR000831,Karnataka,Udupi,9910766495,Silver,Luxury,2025-02-04,same mobile as helper
ASPCON000131,Lokesh Reddy,ASPDLR000064,ANDHRA,Kakinada,8805179374,Silver,Exterior,2023-01-06,
ASPCON000132,Yusuf Acharya,ASPDLR000001,TN,Chennai,8527677463,Registered,Projects,2024-05-24,dealer mapping old
ASPCON000133,Revathi Joseph,ASPDLR000159,A.P.,Anantapur,8043223059,Dormant,Waterproofing,2024-04-14,spelling mismatch
ASPCON000134,Chandra Prasad,ASPDLR000478,Andhra Pradesh,Visakhapatnam,7607541870,Gold,Luxury,,dealer mapping old
ASPCON000135,Anand Naidu,ASPDLR000031,Karnataka,Shivamogga,9993120549,Elite,Exterior,,inactive but claims points
ASPCON000136,Farida Pillai,ASPDLR000710,Karnataka,Davanagere,6352604181,Elite,Projects,,same mobile as helper
ASPCON000137,Venkatesh Joseph,ASPDLR000841,KARNATAKA,Tumakuru,9843175468,Silver,Luxury,2024-02-05,dealer mapping old
ASPCON000138,Bala Acharya,ASPDLR000730,Puducherry,Puducherry,9703436478,Dormant,Interior repaint,,dealer mapping old
ASPCON000139,Kavya Prasad,ASPDLR000326,Karnataka,Tumakuru,6065700156,Dormant,Interior repaint,16-Feb-25,
ASPCON000140,Farida Rao,ASPDLR000240,Karnataka,Ballari,7324881730,Silver,Exterior,24/11/2024,same mobile as helper
ASPCON000141,Kavya Prasad,ASPDLR000294,Telangana,Karimnagar,6736902384,Silver,Interior repaint,2025-02-08,
ASPCON000142,Ganesh Das,ASPDLR000458,Telangana,Nalgonda,7012008926,Silver,Luxury,,same mobile as helper
ASPCON000143,Venkatesh Menon,ASPDLR000669,Tamil Nadu,Cuddalore,7682804617,Silver,Interior repaint,,dealer mapping old
ASPCON000144,Prakash Shetty,ASPDLR000535,Karnataka,Davanagere,6986333462,Silver,Interior repaint,2026-01-26,
ASPCON000145,Anand Prasad,ASPDLR000943,Kerala,Kannur,8776546152,Silver,Interior repaint,,spelling mismatch
ASPCON000146,Yusuf Nair,ASPDLR000664,Tamilnadu,Kanchipuram,6760791044,Elite,Interior repaint,13/10/2024,spelling mismatch
ASPCON000147,Hari Prasad,ASPDLR000737,Tamil Nadu,Chennai,8312726504,Silver,Interior repaint,,dealer mapping old
ASPCON000148,Anand Khan,ASPDLR000839,KARNATAKA,Ballari,7902895049,Dormant,Waterproofing,2025-04-25,
ASPCON000149,Revathi Acharya,ASPDLR000825,Andhra Pradesh,Tirupati,8767010459,Registered,Interior repaint,,
ASPCON000150,Karthik Das,ASPDLR000530,Andhra Pradesh,Kadapa,6172943429,Registered,Projects,,inactive but claims points
ASPCON000151,Jagan Khan,ASPDLR000917,Karnataka,Udupi,6397066862,Gold,Exterior,,dealer mapping old
ASPCON000152,Meena Gowda,ASPDLR000042,Andhra Pradesh,Vijayawada,8633386125,Elite,Interior repaint,01/22/2026,dealer mapping old
ASPCON000153,Rafiq Shetty,ASPDLR000782,AP,Rajahmundry,7875301833,Elite,Interior repaint,2024-01-24,inactive but claims points
ASPCON000154,Anand Babu,ASPDLR000001,Telangana,Suryapet,9233227607,Elite,Exterior,2023-01-13,inactive but claims points
ASPCON000155,Suresh Babu,ASPDLR000115,Kerala,Kottayam,8995568110,Elite,Interior repaint,25/09/2023,dealer mapping old
ASPCON000156,Meena Shetty,ASPDLR000390,Karnataka,Bengaluru,6464771963,Elite,Projects,,same mobile as helper
ASPCON000157,Revathi Acharya,ASPDLR000525,KARNATAKA,Shivamogga,6305557256,Silver,Interior repaint,2023-03-06,dealer mapping old
ASPCON000158,Meena Rao,ASPDLR000374,Kerala,Kochi,7492038783,Gold,Projects,2025-12-30,spelling mismatch
ASPCON000159,Lakshmi Reddy,ASPDLR000817,Tamil Nadu,Trichy,9602979469,Gold,Luxury,2025-11-05,inactive but claims points
ASPCON000160,Priya Gowda,ASPDLR000444,Andhra Pradesh,Kakinada,7776121662,Registered,Exterior,2024-06-30,same mobile as helper
ASPCON000161,Ganesh Varma,ASPDLR000724,A.P.,Anantapur,6491323311,Dormant,Projects,2023-08-15,same mobile as helper
ASPCON000162,Farida Iyer,ASPDLR000547,Tamil Nadu,Cuddalore,9898835571,Dormant,Interior repaint,,same mobile as helper
ASPCON000163,Revathi Joseph,ASPDLR000315,Andhra Pradesh,Anantapur,9491517279,Dormant,Exterior,2025-01-20,spelling mismatch
ASPCON000164,Venkatesh Naidu,ASPDLR000634,Tamil Nadu,Kanchipuram,9999999999,Registered,Luxury,2025-11-16,spelling mismatch
ASPCON000165,Meena Prasad,ASPDLR000278,Karnataka,Mangaluru,6803081504,Elite,Luxury,2025-03-17,spelling mismatch
ASPCON000166,Yusuf Babu,ASPDLR000828,Andhra Pradesh,Nellore,7319407558,Elite,Waterproofing,2023-02-10,spelling mismatch
ASPCON000167,Venkatesh Rao,ASPDLR000257,Tamil Nadu,Salem,7500952089,Dormant,Interior repaint,2023-04-30,same mobile as helper
ASPCON000168,Ganesh Menon,ASPDLR000339,Andhra Pradesh,Anantapur,9999999999,Registered,Waterproofing,2025-10-28,inactive but claims points
ASPCON000169,Geetha Acharya,ASPDLR000085,Telangana,Suryapet,6481970606,Silver,Exterior,2025-11-30,same mobile as helper
ASPCON000170,Prakash Rao,ASPDLR000599,Karnataka,Mangaluru,7632295868,Elite,Waterproofing,,inactive but claims points
ASPCON000171,Lakshmi Joseph,ASPDLR000034,KERALA,Kochi,8789739410,Elite,Luxury,,spelling mismatch
ASPCON000172,Naveen Iyer,ASPDLR000978,Telangana,Mahbubnagar,NA,Gold,Interior repaint,06-Sep-23,
ASPCON000173,Chandra Varma,ASPDLR000239,AP,Kadapa,7197239587,Registered,Projects,,spelling mismatch
ASPCON000174,Lakshmi Shetty,ASPDLR000782,Karnataka,Shivamogga,NA,Elite,Projects,,same mobile as helper
ASPCON000175,Anand Khan,ASPDLR000515,Karnataka,Mysuru,7799706909,Dormant,Exterior,2024-09-03,
ASPCON000176,Farida Kumar,ASPDLR000153,Andhra Pradesh,Rajahmundry,7839226374,Dormant,Projects,2025-10-10,inactive but claims points
ASPCON000177,Lakshmi Das,ASPDLR000590,Andhra Pradesh,Kadapa,9717998246,Silver,Waterproofing,2025-09-17,
ASPCON000178,Lokesh Kumar,ASPDLR000948,Andhra Pradesh,Kurnool,6227983746,Gold,Exterior,05/09/2025,dealer mapping old
ASPCON000179,Hari Iyer,ASPDLR000369,Karnataka,Hubballi,9987455293,Elite,Projects,2024-11-21,dealer mapping old
ASPCON000180,Revathi Das,ASPDLR000141,Karnataka,Mysuru,8211001191,Registered,Exterior,2024-08-28,spelling mismatch
ASPCON000181,Hari Gowda,ASPDLR000094,TN,Hosur,9511330592,Silver,Interior repaint,2025-09-18,spelling mismatch
ASPCON000182,Farida Reddy,ASPDLR000664,Karnataka,Udupi,6840637320,Gold,Exterior,,spelling mismatch
ASPCON000183,Bala Varma,ASPDLR000247,Andhra Pradesh,Kakinada,9747793732,Elite,Projects,2024-03-02,same mobile as helper
ASPCON000184,Meena Joseph,ASPDLR000994,TG,Hyderabad,8421989450,Silver,Exterior,2024-07-03,
ASPCON000185,Manoj Kumar,ASPDLR000861,Karnataka,Udupi,9943308923,Registered,Waterproofing,,same mobile as helper
ASPCON000186,Lakshmi Nair,ASPDLR000314,Tamil Nadu,Thanjavur,8757241969,Gold,Waterproofing,,spelling mismatch
ASPCON000187,Manoj Gowda,ASPDLR000805,Tamil Nadu,Trichy,7392830545,Gold,Waterproofing,16-Mar-25,spelling mismatch
ASPCON000188,Venkatesh Patil,ASPDLR000846,Karnataka,Mysuru,8216397528,Silver,Luxury,,inactive but claims points
ASPCON000189,Hari Khan,ASPDLR000111,Andhra Pradesh,Kadapa,8308841282,Gold,Projects,05/10/2025,inactive but claims points
ASPCON000190,Hari Joseph,ASPDLR000973,Telangana,Mahbubnagar,6769358764,Silver,Projects,2023-07-03,
ASPCON000191,Yusuf Nair,ASPDLR000969,Karnataka,Ballari,7509469574,Registered,Projects,,dealer mapping old
ASPCON000192,Priya Menon,ASPDLR000740,Tamil Nadu,Vellore,7285909185,Dormant,Exterior,2023-08-12,
ASPCON000193,Sowmya Pillai,ASPDLR000965,Karnataka,Hubballi,8385357912,Registered,Interior repaint,2024-06-27,spelling mismatch
ASPCON000194,Chandra Babu,ASPDLR000609,Telangana,Hyderabad,7627050268,Silver,Projects,,same mobile as helper
ASPCON000195,Farida Rao,ASPDLR000732,Karnataka,Tumakuru,7046686056,Registered,Exterior,,inactive but claims points
ASPCON000196,Ganesh Khan,ASPDLR000811,Andhra Pradesh,Kurnool,7142896763,Registered,Waterproofing,,spelling mismatch
ASPCON000197,Yusuf Gowda,ASPDLR000308,Tamil Nadu,Tirunelveli,9707884796,Elite,Exterior,,
ASPCON000198,Sowmya Nair,ASPDLR000869,Tamil Nadu,Coimbatore,9364971589,Elite,Waterproofing,,dealer mapping old
ASPCON000199,Yusuf Iyer,ASPDLR000891,TG,Hyderabad,7220458689,Dormant,Projects,,inactive but claims points
ASPCON000200,Lakshmi Joseph,ASPDLR000646,TN,Trichy,NA,Gold,Interior repaint,02/09/2026,spelling mismatch
ASPCON000201,Naveen Prasad,ASPDLR000036,A.P.,Visakhapatnam,8654883431,Elite,Exterior,,dealer mapping old
ASPCON000202,Manoj Joseph,ASPDLR000167,Kerala,Kottayam,7378858339,Silver,Exterior,2025-03-24,dealer mapping old
ASPCON000203,Venkatesh Menon,ASPDLR000366,Andhra Pradesh,Tirupati,9842056734,Silver,Projects,2025-04-20,inactive but claims points
ASPCON000204,Hari Iyer,ASPDLR000215,Karnataka,Mangaluru,7086461476,Dormant,Luxury,2023-10-24,spelling mismatch
ASPCON000205,Yusuf Pillai,ASPDLR000556,Tamil Nadu,Salem,6051808357,Dormant,Exterior,16/02/2024,spelling mismatch
ASPCON000206,Manoj Acharya,ASPDLR000359,Karnataka,Belagavi,6659153361,Gold,Luxury,,dealer mapping old
ASPCON000207,Kavya Menon,ASPDLR000127,Kerala,Thrissur,9552606857,Elite,Interior repaint,2025-04-28,dealer mapping old
ASPCON000208,Hari Babu,ASPDLR000590,TAMILNADU,Trichy,9979964560,Gold,Projects,05-Jan-23,
ASPCON000209,Irfan Menon,ASPDLR000888,Karnataka,Shivamogga,8490959925,Silver,Waterproofing,,same mobile as helper
ASPCON000210,Senthil Patil,ASPDLR000645,Karnataka,Tumakuru,9560597644,Dormant,Waterproofing,2024-12-08,dealer mapping old
ASPCON000211,Sanjay Khan,ASPDLR000166,Karnataka,Shivamogga,6218161528,Silver,Luxury,2023-12-30,spelling mismatch
ASPCON000212,Meena Khan,ASPDLR000428,Tamil Nadu,Kanchipuram,8391828031,Dormant,Interior repaint,,inactive but claims points
ASPCON000213,Venkatesh Rao,ASPDLR000486,Karnataka,Bengaluru,8798628450,Elite,Waterproofing,2023-04-30,spelling mismatch
ASPCON000214,Arun Das,ASPDLR000475,Tamil Nadu,Kanchipuram,9626995393,Gold,Exterior,,spelling mismatch
