registration_id,registration_date,dealer_id,dealer_name,sku_id,tyre_serial_no,vehicle_type,customer_mobile,km_at_registration,extra_warranty_flag,source
CEAWAR00000061,2025-09-26,CEASUB001041,Royal Meena Stores,CEA0023,A2824645,LCV,7485646551,36103,N,website
CEAWAR00000062,2025-07-14,CEASUB000573,Sree Prakash Sales,CEA0019,B6148318,Tractor,7549966590,0,Y,manual
CEAWAR00000063,2025-06-18,CEASUB002620,United Prakash Agro,CEA0021,,Car,9944097094,30675,Y,call center
CEAWAR00000064,2025-10-25,CEADLR000499,United Irfan Corporation,CEA0034,D3039203,Tractor,9397099893,0,Y,dealer app
CEAWAR00000065,2024-04-29,CEASUB003167,Modern Yusuf Agencies,CEA0032,C2791839,Bus,8994119505,0,pending,fleet upload
CEAWAR00000066,2025-12-03,CEADLR000437,National Priya Paints,CEA0012,B2140066,Car,8819770770,36019,N,fleet upload
CEAWAR00000067,2025-07-01,CEASUB003659,Sri Lokesh Tyres,CEA0011,D6333413,Bus,,16021,N,fleet upload
CEAWAR00000068,2025-11-28,CEASUB000353,Star Senthil Tyres,CEA0022,C7196059,Tractor,7523136132,8431,Y,call center
CEAWAR00000069,2024-10-14,CEASUB004192,City Venkatesh Fertilisers,CEA0013,C2913213,Truck,0,NA,N,dealer app
CEAWAR00000070,2025-02-06,CEASUB002952,STAR LOKESH ASSOCIATES,CEA0034,C2257924,Car,7596980334,58725,Y,call center
CEAWAR00000071,2024-06-02,CEASUB003789,Shree Deepak Tyres,CEA0002,C6765057,Truck,9892293763,71218,N,dealer app
CEAWAR00000072,2024-07-26,CEASUB001275,National Ganesh Enterprises,CEA0022,D1459886,LCV,7935353152,0,pending,fleet upload
CEAWAR00000073,2024-11-29,CEASUB001331,Royal Sanjay Chemicals,CEA0026,B8750618,LCV,9301138262,44697,Y,website
CEAWAR00000074,2024-10-28,CEASUB002127,Ganesh Manoj Sales,CEA0029,C4913633,LCV,6733006804,NA,Y,website
CEAWAR00000075,2025-04-19,CEASUB002399,Vijaya Meena Tyres,CEA0022,B1675883,Tractor,8601179885,0,N,website
CEAWAR00000076,2025-05-20,CEASUB000213,KAVERI DEEPAK PAINTS,CEA0030,B6132708,Truck,NA,NA,N,dealer app
CEAWAR00000077,2024-11-19,CEASUB001208,Sree Prakash Services,CEA0017,D5112200,Car,7809044759,22114,N,dealer app
CEAWAR00000078,09/14/2025,CEASUB003441,STAR SOWMYA CORPORATION,CEA0019,B1032339,Bus,9445533830,33579,N,call center
CEAWAR00000079,2025-12-18,CEASUB003970,Ganesh Revathi Tyres,CEA0005,B7526675,Tractor,6496229922,31090,N,website
CEAWAR00000080,2024-10-05,CEADLR000410,Shree Anand Tyres,CEA0015,C5537999,LCV,9242181206,NA,pending,manual
CEAWAR00000081,2024-06-19,CEASUB000144,National Sowmya Stores,CEA0016,B5600076,LCV,9126444070,NA,Y,fleet upload
CEAWAR00000082,13/05/2024,CEASUB003027,Murugan Priya Tyres,CEA0012,A5105126,Tractor,6790998515,40362,pending,manual
CEAWAR00000083,2025-08-17,CEASUB002033,Royal Chandra Stores,CEA0019,D2672619,Car,6956915396,NA,Y,dealer app
CEAWAR00000084,02/07/2025,CEASUB004237,Shree Deepak Corporation,CEA0028,A2247384,Bus,8658340033,NA,Y,manual
CEAWAR00000085,2025-11-22,CEADLR000481,Ganesh Yusuf Tyres,CEA0010,A7733544,Car,,NA,pending,manual
CEAWAR00000086,2026-02-09,CEASUB001657,National Chandra Tyres,CEA0031,A7260013,2W,9262394342,NA,N,website
CEAWAR00000087,08/11/2024,CEASUB004404,Balaji Senthil Mart,CEA0013,A3552464,Bus,7406761794,29188,N,fleet upload
CEAWAR00000088,2025-09-15,CEADLR000743,City Geetha Paints,CEA0020,B8758839,Tractor,9002990809,NA,Y,fleet upload
CEAWAR00000089,2024-10-30,CEASUB003965,New Sowmya Chemicals,CEA0005,D9786666,Truck,7798573120,NA,Y,dealer app
CEAWAR00000090,2025-10-12,CEASUB003027,Murugan Priya Tyres,CEA0014,A7311412,Tractor,7480728672,54586,Y,website
CEAWAR00000091,2024-12-12,CEASUB002514,Lucky Prakash Tyres,CEA0029,A7798747,Bus,7140371784,17373,N,dealer app
CEAWAR00000092,2024-12-17,CEASUB000780,Shree Priya Sales,CEA0023,A8281588,Bus,8929150824,0,pending,dealer app
CEAWAR00000093,2024-10-16,CEASUB002754,PRIME HARI STORES,CEA0011,C1279903,Truck,7316612223,0,Y,website
CEAWAR00000094,2024-06-25,CEADLR000524,Mahalakshmi Manoj Sales,CEA0005,B3513977,Car,7460472291,462,N,fleet upload
CEAWAR00000095,2025-01-02,CEASUB001171,Ganesh Deepak Depot,CEA0004,C7141095,2W,7665721236,NA,N,website
CEAWAR00000096,2025-06-26,CEASUB004221,Shree Deepak Agencies,CEA0030,D2460126,2W,6484186928,NA,pending,fleet upload
CEAWAR00000097,2025-09-18,CEASUB002758,Metro Suresh Associates,CEA0010,A5956644,Tractor,6812489323,0,N,website
CEAWAR00000098,22/05/2024,CEASUB003392,Metro Arun Sales,CEA0037,null,Car,9975213024,0,N,dealer app
CEAWAR00000099,2024-05-10,CEASUB000512,Prime Chandra Stores,CEA0034,D3259727,LCV,6684302026,0,Y,manual
CEAWAR00000100,2025-05-20,CEASUB003244,City Sanjay Hardware,CEA0005,C9602458,LCV,6804159600,41715,Y,fleet upload
CEAWAR00000101,09/09/2024,CEASUB004209,Sri Suresh Fertilisers,CEA0026,D8067575,Tractor,8513156918,NA,pending,website
CEAWAR00000102,2025-07-02,CEASUB004100,United Meena Tyres,CEA0013,B8282058,LCV,6933887669,54353,Y,dealer app
CEAWAR00000103,08/22/2024,CEADLR000603,Vijaya Revathi Tyres,CEA0024,A7032320,Tractor,7453512651,0,Y,call center
CEAWAR00000104,2024-08-07,CEASUB002372,Prime Revathi Corporation,CEA0020,B2398169,Tractor,6944339176,67960,pending,fleet upload
CEAWAR00000105,2025-01-19,CEASUB004429,Mahalakshmi Kavya Tyres,CEA0013,C3337505,Bus,7401024831,NA,N,website
CEAWAR00000106,02/12/2026,CEASUB002239,Ganesh Bala Mart,CEA0038,D5143088,2W,7178228898,0,pending,fleet upload
CEAWAR00000107,2025-10-11,CEASUB002529,MODERN JAGAN FERTILISERS,CEA0018,B3777103,LCV,NA,0,pending,dealer app
CEAWAR00000108,2025-01-16,CEASUB000368,Lucky Revathi Tyres,CEA0034,N/A,Bus,7227007259,NA,Y,manual
CEAWAR00000109,11/12/2025,CEASUB003661,New Anand Tyres,CEA0028,C4498038,2W,9854338153,0,pending,dealer app
CEAWAR00000110,2026-02-02,CEASUB000476,Murugan Meena Agro,CEA0036,A8261672,Tractor,9462097708,0,pending,fleet upload
CEAWAR00000111,01/25/2025,CEASUB003476,Prime Revathi Tyres,CEA0022,A5160528,Tractor,6111031063,0,pending,call center
CEAWAR00000112,2025-01-15,CEASUB000849,United Lakshmi Tyres Pvt,CEA0012,C5339545,Car,8465817941,0,Y,call center
CEAWAR00000113,2025-02-21,CEASUB003357,Sri Kavya Enterprises,CEA0013,D6305210,Bus,6702653740,NA,pending,website
CEAWAR00000114,06/22/2025,CEASUB002657,United Kavya Services,CEA0014,B5428415,Tractor,7443816537,NA,N,website
CEAWAR00000115,06/27/2024,CEASUB002857,GANESH YUSUF HARDWARE,CEA0015,D8032712,2W,6666997806,0,Y,fleet upload
CEAWAR00000116,2025-11-13,CEASUB000034,Ganesh Chandra Sales,CEA0038,A2040289,Car,6324254347,21307,Y,dealer app
CEAWAR00000117,2026-02-16,CEADLR000098,Lucky Kavya Tyres,CEA0020,D5412579,LCV,6275893227,50621,N,manual
CEAWAR00000118,09/08/2024,CEASUB001461,Metro Irfan Paints,CEA0030,B2967020,Truck,6355339448,45902,N,call center
CEAWAR00000119,2024-07-31,CEASUB001754,Mahalakshmi Priya Chemicals,CEA0008,A7488122,LCV,8143170072,45797,Y,fleet upload
CEAWAR00000120,2024-12-09,CEASUB002624,Star Venkatesh Tyres,CEA0003,B2791007,Car,9505378271,NA,Y,manual
CEAWAR00000121,2025-07-28,CEASUB002589,New Sanjay Depot,CEA0018,D1933348,Truck,8109204085,NA,N,call center
CEAWAR00000122,2025-10-11,CEASUB000663,Shree Anand Traders,CEA0034,C7916828,Truck,8712042325,NA,pending,manual
CEAWAR00000123,26-Jan-26,CEASUB002844,New Geetha Associates,CEA0012,NA,Tractor,6249594898,0,N,call center
CEAWAR00000124,2024-07-21,CEASUB004054,Prime Irfan Agencies,CEA0008,C7603144,LCV,8732850485,6545,N,call center
CEAWAR00000125,2024-06-12,CEASUB004399,Metro Prakash Fertilisers,CEA0033,NA,Car,9448162428,NA,N,fleet upload
CEAWAR00000126,2024-06-12,CEASUB000798,Mahalakshmi Geetha Tyres,CEA0019,C6116449,2W,6704567186,NA,Y,manual
CEAWAR00000127,10/18/2025,CEASUB001561,Sri Suresh Traders,CEA0015,D6266095,Tractor,7419366038,NA,pending,dealer app
CEAWAR00000128,05/10/2025,CEASUB002418,Star Irfan Tyres,CEA0011,A8116495,Bus,6118510018,NA,N,website
CEAWAR00000129,09/04/2025,CEASUB003680,City Meena Mart,CEA0032,NA,Tractor,7172328115,0,N,call center
CEAWAR00000130,2024-05-22,CEASUB000305,Ganesh Sowmya Tyres,CEA0015,C8259846,Bus,8833081465,26900,pending,call center
CEAWAR00000131,2025-11-22,CEADLR000280,Vijaya Lokesh Tyres,CEA0036,C9542758,Tractor,8583314880,NA,N,manual
CEAWAR00000132,03-Jan-26,CEASUB004019,New Priya Paints,CEA0035,D5437146,Car,7874036798,0,N,manual
CEAWAR00000133,2025-06-07,CEASUB000770,Sri Ganesh Enterprises,CEA0019,D5287835,LCV,6913338353,0,pending,dealer app
CEAWAR00000134,2024-07-21,CEASUB000407,Mahalakshmi Bala Enterprises,CEA0012,C8393936,Tractor,7973595718,0,pending,call center
CEAWAR00000135,2024-08-19,CEASUB001921,Sree Sowmya Services,CEA0012,B5580602,Truck,NA,32455,N,manual
CEAWAR00000136,2024-10-21,CEASUB002129,Lucky Irfan Mart,CEA0010,D1242499,Tractor,6481202277,NA,pending,dealer app
CEAWAR00000137,2025-07-15,CEASUB000845,New Manoj Tyres,CEA0020,A4503001,Truck,9578653729,64955,N,manual
CEAWAR00000138,2024-12-08,CEASUB001248,Ganesh Lokesh Tyres Main,CEA0025,A3475200,Bus,6523477549,57582,N,website
CEAWAR00000139,2026-03-01,CEASUB001333,Murugan Senthil Agencies,CEA0021,A2707067,Tractor,6870446662,0,N,manual
CEAWAR00000140,2024-08-04,CEASUB002979,Metro Suresh Tyres,CEA0007,B5767071,2W,6714377970,NA,N,manual
CEAWAR00000141,2025-04-22,CEASUB000999,Royal Farida Tyres,CEA0025,B8460873,Bus,6617395518,0,Y,call center
CEAWAR00000142,2026-01-24,CEASUB003274,Mahalakshmi Lokesh Chemicals,CEA0010,B8351364,LCV,9385271531,NA,pending,website
CEAWAR00000143,06-Feb-25,CEASUB004065,Kaveri Irfan Tyres Main,CEA0036,C4745094,Tractor,9285745344,NA,pending,manual
CEAWAR00000144,2025-05-10,CEADLR000557,Kaveri Lokesh Tyres,CEA0020,B1680153,Truck,9395679276,0,Y,fleet upload
CEAWAR00000145,2024-08-12,CEASUB000837,Vijaya Meena Sales,CEA0012,B2579662,LCV,8866210012,0,pending,call center
CEAWAR00000146,2024-10-06,CEASUB001495,Ganesh Manoj Stores,CEA0034,B6818036,Bus,7259385706,55035,pending,manual
CEAWAR00000147,2024-09-20,CEASUB003650,Lucky Farida Tyres,CEA0017,D5165263,Truck,9389046109,NA,Y,fleet upload
CEAWAR00000148,2025-07-22,CEASUB001257,New Jagan Tyres,CEA0019,C4542675,Bus,9031138182,74045,Y,fleet upload
CEAWAR00000149,2024-05-08,CEADLR000307,Star Rafiq Associates,CEA0012,B6715656,2W,6170527840,45985,pending,fleet upload
CEAWAR00000150,2025-05-01,CEASUB004089,PRIME PRIYA TYRES,CEA0017,B8011951,Tractor,8796792029,NA,pending,call center
CEAWAR00000151,2025-11-02,CEADLR000330,Lucky Geetha Stores,CEA0023,B3565746,LCV,6704432438,71626,pending,call center
CEAWAR00000152,2024-12-23,CEADLR000478,Murugan Sowmya Distributors,CEA0035,B6081731,Bus,6874461288,NA,pending,dealer app
CEAWAR00000153,2024-04-24,CEASUB001627,New Irfan Fertilisers,CEA0013,A4566173,Car,9599658236,0,Y,dealer app
CEAWAR00000154,2025-04-24,CEASUB001535,Lucky Arun Tyres,CEA0002,B1601635,Tractor,9125418780,NA,N,manual
CEAWAR00000155,2025-10-01,CEASUB002123,Murugan Rafiq Mart,CEA0023,A2458388,2W,9796021725,0,pending,website
CEAWAR00000156,2024-09-01,CEADLR000133,Vijaya Lokesh Traders,CEA0035,NA,2W,9911758348,NA,Y,website
CEAWAR00000157,28-May-24,CEASUB001386,Murugan Chandra Services,CEA0004,B2977625,LCV,8341214540,0,Y,dealer app
CEAWAR00000158,2024-05-20,CEADLR000680,Royal Senthil Mart,CEA0004,D5296952,Tractor,6507044789,NA,N,dealer app
CEAWAR00000159,11/05/2024,CEASUB000333,Vijaya Chandra Tyres,CEA0020,C5858271,Tractor,8337818472,60110,N,dealer app
CEAWAR00000160,28/06/2025,CEASUB002422,Lucky Meena Chemicals,CEA0034,N/A,LCV,7006566153,NA,N,dealer app
CEAWAR00000161,2025-10-21,CEASUB000631,National Rafiq Agro,CEA0003,N/A,Tractor,8256589560,NA,pending,website
CEAWAR00000162,2026-02-13,CEASUB003548,Balaji Lakshmi Mart,CEA0004,C7656147,Truck,0,NA,pending,website
CEAWAR00000163,2025-12-10,CEASUB000188,Kaveri Irfan Traders,CEA0031,B2613996,Car,9809654642,NA,pending,dealer app
CEAWAR00000164,06/05/2025,CEASUB000099,Sree Revathi Tyres,CEA0031,A5878942,LCV,7503734262,0,pending,manual
CEAWAR00000165,2025-11-19,CEASUB001938,Kaveri Senthil Fertilisers,CEA0005,C3579186,Tractor,6962181971,NA,Y,dealer app
CEAWAR00000166,2025-10-30,CEASUB003919,New Ganesh Tyres,CEA0012,A7119529,Car,6617933958,72553,Y,dealer app
CEAWAR00000167,2025-07-17,CEASUB001549,Modern Anand Fertilisers,CEA0022,D1372355,Truck,8544427740,19997,Y,fleet upload
CEAWAR00000168,21/12/2024,CEASUB001914,SRI Sanjay Paints,CEA0021,D6172963,LCV,7401067028,10017,Y,dealer app
CEAWAR00000169,2024-06-14,CEASUB002140,United Sanjay Tyres,CEA0031,D5659046,2W,9337640517,4675,pending,call center
CEAWAR00000170,2024-05-25,CEASUB000428,Balaji Revathi Stores,CEA0032,A8879658,Bus,7265172209,NA,N,manual
CEAWAR00000171,2025-07-18,CEADLR000521,Ganesh Rafiq Mart,CEA0010,B5613873,Bus,9071106517,0,pending,dealer app
CEAWAR00000172,2024-12-29,CEASUB001298,Modern Naveen Sales,CEA0035,C3936105,Car,7501695590,NA,pending,fleet upload
CEAWAR00000173,2025-06-19,CEASUB002686,Mahalakshmi Geetha Tyres,CEA0035,A3721844,Truck,7157349147,38545,pending,manual
CEAWAR00000174,2025-08-11,CEASUB001095,Balaji Sowmya Tyres,CEA0012,A3282718,Truck,9478430447,0,Y,dealer app
CEAWAR00000175,19/08/2024,CEADLR000635,National Hari Tyres,CEA0027,A5681399,Car,9088909026,NA,pending,dealer app
CEAWAR00000176,2025-03-05,CEADLR000205,Balaji Geetha Tyres,CEA0029,C5467538,Bus,6077887325,0,Y,website
CEAWAR00000177,2025-07-16,CEASUB000868,Metro Chandra Tyres,CEA0028,B4146309,LCV,NA,51831,Y,manual
CEAWAR00000178,26-Feb-26,CEASUB002415,Ganesh Venkatesh Agencies,CEA0011,D5497471,Car,8830014626,0,Y,call center
CEAWAR00000179,2025-04-29,CEADLR000561,New Sanjay Associates & Co,CEA0030,C5218013,2W,9940813558,8457,N,website
CEAWAR00000180,2025-01-17,CEADLR000168,Prime Hari Tyres,CEA0031,D9592906,Bus,7746067089,44361,N,dealer app
CEAWAR00000181,01/10/2025,CEASUB004370,Prime Revathi Services Pvt,CEA0002,N/A,Bus,7217590719,0,pending,website
CEAWAR00000182,2024-11-14,CEADLR000258,CITY JAGAN TYRES,CEA0019,B9452082,2W,9006616045,0,N,dealer app
CEAWAR00000183,01/16/2025,CEADLR000409,City Manoj Tyres,CEA0031,D4943291,Tractor,9335343984,NA,Y,call center
CEAWAR00000184,2024-07-11,CEASUB001104,Shree Kavya Chemicals,CEA0007,D4682474,LCV,7289434600,NA,Y,website
CEAWAR00000185,2026-03-07,CEASUB003635,Balaji Irfan Tyres,CEA0036,A7042423,Bus,7211519365,NA,pending,dealer app
CEAWAR00000186,12/20/2025,CEASUB002042,Modern Senthil Sales,CEA0007,D9384218,Tractor,6990876913,NA,pending,fleet upload
CEAWAR00000187,2025-07-24,CEASUB000045,Sree Karthik Associates,CEA0001,C4469003,Car,9458639344,0,pending,website
CEAWAR00000188,20/05/2024,CEASUB003375,Shree Chandra Tyres,CEA0022,B8673190,2W,8411230617,0,Y,call center
CEAWAR00000189,2025-01-14,CEASUB003784,Star Senthil Tyres,CEA0028,A9082464,2W,7350279654,NA,Y,website
CEAWAR00000190,2024-06-20,CEASUB003417,Ganesh Bala Tyres,CEA0017,D9811426,LCV,9840876346,0,N,manual
CEAWAR00000191,2025-06-20,CEASUB002445,Sri Irfan Tyres,CEA0008,C9009741,Tractor,6059173131,0,Y,manual
CEAWAR00000192,2024-08-15,CEADLR000217,Shree Prakash Tyres,CEA0022,A7535950,Car,7126547094,31569,pending,fleet upload
CEAWAR00000193,2025-01-21,CEADLR000694,Ganesh Geetha Hardware,CEA0034,B2699010,Bus,7288737585,0,Y,dealer app
CEAWAR00000194,2025-06-06,CEASUB004116,Murugan Bala Enterprises,CEA0006,D8279930,Bus,7634517178,NA,pending,fleet upload
CEAWAR00000195,11/29/2025,CEASUB000116,Lucky Deepak Services,CEA0015,A6472269,Tractor,6340510840,NA,pending,website
CEAWAR00000196,2025-07-01,CEASUB001002,Sree Ganesh Tyres,CEA0035,B1114168,Truck,9100261633,28457,pending,dealer app
CEAWAR00000197,2025-12-11,CEASUB001625,Lucky Chandra Tyres,CEA0001,B4156838,Bus,9769584567,63026,pending,manual
CEAWAR00000198,2025-02-05,CEASUB004304,Sri Suresh Agro,CEA0024,B5999085,Truck,6858166899,NA,pending,dealer app
CEAWAR00000199,2024-04-21,CEADLR000447,Sri Venkatesh Tyres,CEA0011,A2775325,Car,7428598674,7793,Y,call center
CEAWAR00000200,09/25/2024,CEASUB000086,Star Prakash Tyres,CEA0026,A5938599,Truck,7892736874,35454,pending,website
CEAWAR00000201,2025-09-22,CEASUB001759,Royal Senthil Enterprises,CEA0006,D2114399,Bus,8544152503,64876,Y,dealer app
CEAWAR00000202,2025-06-17,CEASUB003283,Sree Venkatesh Sales,CEA0030,B7146137,Truck,8351246825,0,N,call center
CEAWAR00000203,2024-08-28,CEASUB001019,Kaveri Rafiq Tyres,CEA0014,A8333039,Truck,9633773520,0,pending,website
CEAWAR00000204,2024-06-02,CEASUB000026,Prime Jagan Hardware,CEA0027,D1425195,Truck,7343880916,66696,Y,call center
CEAWAR00000205,2026-01-21,CEASUB004204,Shree Naveen Tyres,CEA0028,D9149653,LCV,7572985685,3396,N,manual
CEAWAR00000206,14/03/2026,CEASUB001736,Kaveri Irfan Tyres,CEA0036,,2W,8822279888,0,Y,call center
CEAWAR00000207,2025-12-23,CEASUB003958,NATIONAL PRAKASH PAINTS,CEA0034,C2881898,2W,8379823611,NA,Y,manual
CEAWAR00000208,2026-01-04,CEASUB004085,Lucky Ganesh Corporation,CEA0004,A6861351,Truck,7889200445,47518,Y,website
CEAWAR00000209,16-Jun-25,CEASUB002132,Balaji Prakash Agencies,CEA0037,NA,LCV,8413333716,0,pending,dealer app
